solver,map,num_agents,num_humans,seed,replan_idx,status,solver_wall_ms,end_to_end_wall_ms,plan_makespan,plan_first_agent_distinct_cells,error_msg,source_config
lacam_official,random-64-64-10,20,20,2,0,complete,1.0,8.181796,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,2,1,complete,1.0,6.718294,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,2,2,complete,0.0,7.305533,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,0,0,complete,1.0,6.714256,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,0,1,complete,0.0,5.526545,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,0,2,complete,0.0,6.57707,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,40,20,1,0,complete,1.0,8.724571,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,40,20,1,1,complete,1.0,8.476296,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,40,20,1,2,complete,1.0,8.858374,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,60,20,0,0,complete,8.0,16.458035,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,60,20,0,1,error,11314.0,11441.831292,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,60,20,0,2,error,11809.0,11997.237886,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,60,20,1,0,complete,2.0,9.20039,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,60,20,1,1,complete,2.0,10.791342,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,60,20,1,2,complete,2.0,10.597099,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,40,20,0,0,complete,7.0,17.965746,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,40,20,0,1,error,11650.0,11807.749981,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,40,20,0,2,error,13232.0,13535.09215,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,80,20,0,0,complete,2.0,9.271627,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,80,20,0,1,complete,3.0,12.001035,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,80,20,0,2,complete,4.0,13.87926,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,40,20,2,0,error,12716.0,12942.418245,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,40,20,2,1,error,13878.0,14198.756735,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,40,20,2,2,timeout_no_result,14720.0,15145.342246,21,1,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,1,0,timeout_no_result,14936.0,15356.530612,21,1,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,1,1,timeout_no_result,nan,15475.957501,21,1,,scaling_agents_v2
lacam_official,random-64-64-10,20,20,1,2,timeout_no_result,nan,15618.965861,21,1,,scaling_agents_v2
lacam_official,random-64-64-10,80,20,1,0,error,12577.0,12860.173481,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,80,20,1,1,error,12595.0,12896.755673,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,80,20,1,2,error,12418.0,12703.6267,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,1,0,complete,2.0,10.673343,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,1,1,complete,3.0,15.217403,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,1,2,complete,3.0,14.269103,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,60,20,2,0,error,12772.0,13034.91602,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,60,20,2,1,error,13054.0,13337.115598,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,60,20,2,2,error,13119.0,13493.738437,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,2,0,complete,2.0,11.857037,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,2,1,complete,2.0,11.372634,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,2,2,complete,401.0,422.532954,21,21,,scaling_agents_v2
lacam_official,random-64-64-10,80,20,2,0,error,12328.0,12584.989072,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,random-64-64-10,80,20,2,1,error,12462.0,12709.942284,21,1,rc=0 but parser produced no plan,scaling_agents_v2
