solver,map,num_agents,num_humans,seed,replan_idx,status,solver_wall_ms,end_to_end_wall_ms,plan_makespan,plan_first_agent_distinct_cells,error_msg,source_config
lacam_official,random-64-64-10,10,20,1,0,complete,0.0,4.502632,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,1,1,complete,0.0,6.874492,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,1,2,complete,0.0,4.956752,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,0,0,complete,0.0,4.633656,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,0,1,complete,0.0,3.911754,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,0,2,complete,0.0,4.104264,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,2,0,complete,0.0,6.056786,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,2,1,complete,0.0,5.934482,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,10,20,2,2,complete,0.0,5.597783,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,0,0,complete,0.0,5.057144,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,0,1,complete,0.0,4.920153,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,0,2,complete,0.0,5.147913,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,2,0,complete,0.0,5.957333,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,2,1,complete,0.0,5.794148,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,2,2,complete,0.0,5.977797,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,0,0,complete,1.0,7.325928,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,0,1,complete,1.0,7.222126,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,0,2,complete,1.0,7.052547,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,0,0,complete,1.0,6.510632,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,0,1,error,13616.0,13955.019582,21,1,rc=0 but parser produced no plan,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,0,2,error,13726.0,14048.841761,21,1,rc=0 but parser produced no plan,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,1,0,complete,1.0,8.313594,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,1,1,complete,1.0,8.035071,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,1,2,complete,1.0,7.385278,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,1,0,error,14509.0,14869.682924,21,1,rc=0 but parser produced no plan,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,1,1,timeout_no_result,nan,15431.905297,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,1,2,timeout_no_result,nan,15450.751742,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,2,0,timeout_no_result,nan,15471.185545,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,2,1,timeout_no_result,nan,15484.316488,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,30,20,2,2,timeout_no_result,nan,15502.460142,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,50,20,1,0,complete,2.0,9.226471,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,50,20,1,1,complete,2.0,8.98419,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,50,20,1,2,complete,2.0,10.032871,21,21,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,1,0,timeout_no_result,nan,15488.522868,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,1,1,timeout_no_result,nan,15549.680448,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,20,20,1,2,timeout_no_result,nan,15583.212919,21,1,,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,2,0,error,13749.0,14107.236912,21,1,rc=0 but parser produced no plan,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,2,1,error,13887.0,14268.566705,21,1,rc=0 but parser produced no plan,baseline_comparison_v2
lacam_official,random-64-64-10,40,20,2,2,error,13917.0,14290.483744,21,1,rc=0 but parser produced no plan,baseline_comparison_v2
