solver,map,num_agents,num_humans,seed,replan_idx,status,solver_wall_ms,end_to_end_wall_ms,plan_makespan,plan_first_agent_distinct_cells,error_msg,source_config
lacam_official,random-64-64-10,20,20,2,0,complete,9.0,15.827428,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,20,20,2,1,complete,0.0,4.01354,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,20,20,2,2,complete,0.0,6.154198,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,20,20,0,0,complete,0.0,5.215688,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,20,20,0,1,complete,0.0,7.63826,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,20,20,0,2,complete,0.0,3.712918,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,40,20,1,0,complete,3.0,10.037262,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,40,20,1,1,complete,1.0,6.068475,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,40,20,1,2,complete,1.0,5.104695,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,40,20,0,0,complete,1.0,18.127267,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,40,20,0,1,complete,1.0,5.279429,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,40,20,0,2,complete,1.0,6.826657,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,60,20,1,0,complete,1.0,6.019386,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,60,20,1,1,complete,1.0,7.743429,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,60,20,1,2,complete,2.0,8.434221,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,50,40,1,0,complete,2.0,9.174492,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,50,40,1,1,complete,5.0,24.298416,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,50,40,1,2,complete,2.0,8.236215,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,80,20,0,0,complete,2.0,8.604419,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,80,20,0,1,complete,6.0,19.6421,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,80,20,0,2,complete,3.0,10.950689,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,50,40,2,0,complete,2.0,10.334455,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,50,40,2,1,complete,5.0,12.458777,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,50,40,2,2,complete,3.0,9.643667,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,0,0,complete,80.0,98.285029,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,0,1,complete,43.0,52.739482,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,0,2,complete,38.0,50.57281,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,2,0,complete,42.0,50.188206,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,2,1,complete,39.0,46.688566,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,2,2,complete,20.0,31.989121,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,40,20,1,0,complete,39.0,50.647145,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,40,20,1,1,complete,56.0,68.810562,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,40,20,1,2,complete,61.0,76.626348,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,2,0,complete,8.0,19.48238,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,2,1,complete,7.0,20.248704,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,2,2,complete,6.0,20.096414,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,0,0,complete,4.0,11.109592,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,0,1,complete,6.0,19.250457,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,0,2,complete,7.0,25.737918,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,1,0,complete,4.0,14.03991,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,1,1,complete,5.0,15.1428,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-2,100,60,1,2,complete,6.0,17.052683,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,60,20,0,0,complete,1.0,5.7295,21,21,,conflict_aware_v2_5_4
lacam_official,random-64-64-10,60,20,0,1,error,12912.0,12976.416064,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_4
lacam_official,random-64-64-10,60,20,0,2,error,12841.0,12907.884926,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,100,40,2,0,complete,146.0,154.859083,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,100,40,2,1,error,11453.0,11500.481536,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,100,40,2,2,error,11418.0,11468.601306,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_4
lacam3,random-64-64-10,80,20,0,0,complete,10015.0,10048.612455,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,80,20,0,1,complete,10015.0,10042.990013,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,80,20,0,2,complete,10021.0,10054.328596,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,100,40,1,0,complete,4.0,13.264773,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,100,40,1,1,complete,5.0,15.932659,21,21,,conflict_aware_v2_5_4
lacam_official,warehouse-10-20-10-2-1,100,40,1,2,complete,5.0,16.683568,21,21,,conflict_aware_v2_5_4
lacam3,random-64-64-10,20,20,1,0,error,10016.0,10030.539428,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_4
