solver,map,num_agents,num_humans,seed,replan_idx,status,solver_wall_ms,end_to_end_wall_ms,plan_makespan,plan_first_agent_distinct_cells,error_msg,source_config
lacam_official,random-64-64-10,10,20,1,0,complete,0.0,8.944719,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,1,1,complete,0.0,3.379973,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,1,2,complete,0.0,3.211959,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,20,20,0,0,complete,0.0,5.642244,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,20,20,0,1,complete,0.0,6.582013,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,20,20,0,2,complete,0.0,4.774262,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,20,20,2,0,complete,0.0,3.834906,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,20,20,2,1,complete,0.0,3.855487,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,20,20,2,2,complete,0.0,4.817362,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,2,0,complete,0.0,4.728736,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,2,1,complete,0.0,7.307638,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,2,2,complete,0.0,4.961996,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,0,0,complete,0.0,3.266923,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,0,1,complete,0.0,4.114919,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,10,20,0,2,complete,0.0,3.99901,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,30,20,1,0,complete,0.0,7.237683,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,30,20,1,1,complete,0.0,6.652812,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,30,20,1,2,complete,1.0,11.386012,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,30,20,0,0,complete,0.0,4.604099,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,30,20,0,1,complete,0.0,7.828759,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,30,20,0,2,complete,0.0,5.962438,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,40,20,1,0,complete,0.0,6.235419,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,40,20,1,1,complete,1.0,6.240721,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,40,20,1,2,complete,1.0,4.97353,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,50,20,1,0,complete,1.0,6.711836,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,50,20,1,1,complete,1.0,7.385956,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,50,20,1,2,complete,1.0,4.934122,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,40,20,0,0,complete,1.0,6.315112,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,40,20,0,1,complete,1.0,5.113327,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,40,20,0,2,complete,1.0,7.228761,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,50,20,0,0,complete,1.0,5.668777,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,50,20,0,1,complete,1.0,5.787581,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,50,20,0,2,complete,1.0,7.675398,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,60,20,1,0,complete,1.0,9.911962,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,60,20,1,1,complete,1.0,6.593159,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,60,20,1,2,complete,4.0,12.438327,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,80,20,0,0,complete,3.0,10.77978,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,80,20,0,1,complete,3.0,11.187691,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,80,20,0,2,complete,3.0,11.000707,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,0,0,complete,2.0,7.64462,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,0,1,complete,2.0,11.163946,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,0,2,complete,2.0,10.883708,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,90,20,0,0,complete,2.0,8.619746,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,90,20,0,1,complete,4.0,11.363612,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,90,20,0,2,complete,4.0,16.24097,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,1,0,complete,2.0,9.653924,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,1,1,complete,2.0,10.33584,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,1,2,complete,5.0,18.080768,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,2,0,complete,3.0,11.471414,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,2,1,complete,7.0,21.118799,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,50,100,2,2,complete,4.0,16.938641,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,0,0,complete,5.0,15.729518,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,0,1,complete,10.0,26.850266,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,0,2,complete,7.0,22.036276,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,2,0,complete,4.0,14.492805,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,2,1,complete,5.0,16.520771,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,2,2,complete,6.0,16.47578,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,1,0,complete,4.0,15.89921,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,1,1,complete,6.0,19.482573,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,100,100,1,2,complete,6.0,19.414392,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,150,100,1,0,complete,7.0,21.803892,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,150,100,1,1,complete,17.0,44.617938,21,21,,conflict_aware_v2_5_5
lacam_official,warehouse-10-20-10-2-2,150,100,1,2,complete,15.0,36.422477,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,70,20,0,0,complete,2.0,9.169422,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,70,20,0,1,error,12661.0,12711.284471,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_5
lacam_official,random-64-64-10,70,20,0,2,error,12159.0,12214.035932,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_5
lacam_official,random-64-64-10,60,20,0,0,complete,5.0,11.195473,21,21,,conflict_aware_v2_5_5
lacam_official,random-64-64-10,60,20,0,1,error,12835.0,12893.897311,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_5
lacam_official,random-64-64-10,60,20,0,2,error,13233.0,13293.421188,21,1,solver self-reported solved=0 (budget exhaustion: no initial solution within -t),conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,0,0,complete,57.0,67.325022,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,0,1,complete,29.0,37.038147,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,0,2,complete,38.0,54.703098,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,1,0,complete,42.0,49.665797,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,1,1,complete,71.0,82.096316,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,1,2,complete,63.0,72.738373,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,2,0,complete,57.0,71.777406,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,2,1,complete,13.0,19.216749,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,10,20,2,2,complete,54.0,68.302913,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,20,20,0,0,complete,84.0,102.077887,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,20,20,0,1,complete,58.0,80.319497,21,21,,conflict_aware_v2_5_5
lacam3,random-64-64-10,20,20,0,2,complete,28.0,43.078171,21,21,,conflict_aware_v2_5_5
