Deleting pre-activation logs/calibration/raw_measurements.csv (archive at  _archived_greedy_v1_4_pre_direction_a/)
=== Calibration cohort: calibration_v1 ===
Started:        2026-05-13T10:24:29Z
Hostname:       iisl
Git commit:     c56f0fcd0ec7968d24253db17336970952445023
Active alloc:   conflict_aware
Workers:        32
CSV:            logs/calibration/raw_measurements.csv
Expected rows:  2160 (excluding header)
===
2026-05-13 13:24:29,665 INFO calibrate calibration grid: 720 cells × 3 replans/cell = 2160 invocations (time_limit=10.0s each)
2026-05-13 13:24:29,668 INFO calibrate running with 32 workers
2026-05-13 13:24:30,923 INFO calibrate progress: 5/720 cells (0.7%, elapsed 1.3s)
2026-05-13 13:24:31,127 INFO calibrate progress: 10/720 cells (1.4%, elapsed 1.5s)
2026-05-13 13:24:31,697 INFO calibrate progress: 15/720 cells (2.1%, elapsed 2.0s)
2026-05-13 13:24:32,322 INFO calibrate progress: 20/720 cells (2.8%, elapsed 2.7s)
2026-05-13 13:24:33,678 INFO calibrate progress: 25/720 cells (3.5%, elapsed 4.0s)
2026-05-13 13:24:34,396 INFO calibrate progress: 30/720 cells (4.2%, elapsed 4.7s)
2026-05-13 13:24:35,150 INFO calibrate progress: 35/720 cells (4.9%, elapsed 5.5s)
2026-05-13 13:24:45,272 INFO calibrate progress: 40/720 cells (5.6%, elapsed 15.6s)
2026-05-13 13:25:14,760 INFO calibrate progress: 45/720 cells (6.2%, elapsed 45.1s)
2026-05-13 13:25:46,730 INFO calibrate progress: 50/720 cells (6.9%, elapsed 77.1s)
2026-05-13 13:25:49,134 INFO calibrate progress: 55/720 cells (7.6%, elapsed 79.5s)
2026-05-13 13:25:53,438 INFO calibrate progress: 60/720 cells (8.3%, elapsed 83.8s)
2026-05-13 13:25:58,970 INFO calibrate progress: 65/720 cells (9.0%, elapsed 89.3s)
2026-05-13 13:26:02,622 INFO calibrate progress: 70/720 cells (9.7%, elapsed 93.0s)
2026-05-13 13:26:18,386 INFO calibrate progress: 75/720 cells (10.4%, elapsed 108.7s)
2026-05-13 13:27:03,033 INFO calibrate progress: 80/720 cells (11.1%, elapsed 153.4s)
2026-05-13 13:27:12,492 INFO calibrate progress: 85/720 cells (11.8%, elapsed 162.8s)
2026-05-13 13:27:23,553 INFO calibrate progress: 90/720 cells (12.5%, elapsed 173.9s)
