applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,20,10,1,congestion_avoidance,0,578,0,0,0,priority,578,2,0,,baseline_comparison,4,134,203,lacam_official,True,20,random_walk,60,0,101.5,astar,2611,1865,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",201.0,134,15132.076153997332,0.02382133995037221,36.86077671870589,65.36678200692042,156.04432221167156,65.01557093425606,61.0,ours,lifelong,64,0,40,20,97.05344453686848,8.979315287433565,10,2814,40c0986c3ae9b9a87ca69721b922866293673d73988f298f440cf63ec2a79c4a,125,1,344.0,688,0,0,0,10.0,2,ok,2000,48.0,37579,congestion_avoidance,0.998272884283247,0.289,2000,579,2453,0,0,688,0,0.0306625,74.0061,2328
4,lacam_official,True,20,10,1,congestion_avoidance,0,276,0,0,0,priority,276,4,0,,baseline_comparison,4,72,209,lacam_official,True,20,random_walk,21,0,104.5,astar,1391,1995,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",237.0,8,15191.964971832931,0.0004975124378109452,75.7133409382077,64.84420289855072,658.2585593449335,64.32246376811594,60.0,ours,lifelong,23,0,20,20,45.16445904737338,7.580223400145767,10,1600,a7e04390244dfd000ec96fc27fb29ac611ab3ebe61eb0ac6609a40e46bbe35a5,64,1,175.5,351,7,0,0,10.0,9,ok,2000,1.0,17753,congestion_avoidance,0.9963898916967509,0.138,2000,277,924,0,0,351,0,0.0231,151.5649,860
4,lacam_official,True,20,10,1,congestion_avoidance,0,465,0,0,0,priority,465,1,0,,baseline_comparison,4,0,205,lacam_official,True,20,random_walk,44,0,102.5,astar,2086,1864,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",218.0,0,15194.996375823393,0.0029717682020802376,60.36490948905703,62.56989247311828,449.4800067529446,61.95483870967742,59.0,ours,lifelong,38,0,30,20,71.72836853424087,8.483091043308374,10,2291,9184ae6666fc29bb5f0277b82ac3a7d8e399e3eae602becc3aa46117e09764db,205,1,239.5,479,9,0,0,10.0,6,ok,2000,6.0,28809,congestion_avoidance,1.0,0.2325,2000,465,1412,0,0,479,0,0.023533333333333333,121.0064,1207
4,lacam_official,True,20,10,1,congestion_avoidance,0,463,0,0,0,priority,463,4,0,,baseline_comparison,4,105,218,lacam_official,True,20,random_walk,34,0,109.0,astar,2620,1858,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",299.0,92,15146.616182057187,0.008946322067594433,73.89875479356851,70.06479481641469,561.7327497078003,69.75161987041037,67.0,ours,lifelong,39,0,30,20,63.425087661016725,10.743025597184893,10,2838,c3214a0a5073c6365e950f76cdc8d0777e6fa1fadcd38fb37756f3eee60167e5,93,1,236.5,473,5,0,0,10.0,8,ok,2000,18.0,32295,congestion_avoidance,0.9978448275862069,0.2315,2000,464,1985,0,0,473,0,0.03308333333333333,148.0776,1892
4,lacam_official,True,20,10,1,congestion_avoidance,0,469,0,0,0,priority,469,2,0,,baseline_comparison,4,75,213,lacam_official,True,20,random_walk,28,0,106.5,astar,2484,1924,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",280.0,75,15192.596707027406,0.0039662865642042635,97.78702556050848,66.19829424307036,788.9819697361055,65.84434968017058,62.0,ours,lifelong,39,0,30,20,66.69190077809617,6023.652342753143,10,2697,26182b5ec052ca82db54d772bdbf28b10ba87321f9212a04757169515d365706,130,1,204.0,408,7,0,0,10.0,11,ok,2000,8.0,30881,congestion_avoidance,0.9957537154989384,0.2345,2000,471,1593,0,0,408,0,0.02655,195.8303,1463
4,lacam_official,True,20,10,1,congestion_avoidance,0,598,0,0,0,priority,598,9,0,,baseline_comparison,4,96,205,lacam_official,True,20,random_walk,47,0,102.5,astar,2916,1885,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",295.0,86,15169.611559947953,0.013909587680079483,73.9680037695216,62.76086956521739,510.0881103823734,62.43311036789298,57.5,ours,lifelong,68,0,40,20,91.67503922944888,9.890983067452904,10,3121,b0eef325adb380aced495a34aa4598c423b88aa2ccf7ee1dbf0499929c44955f,270,1,330.0,660,3,2,0,10.0,5,ok,2000,28.0,37335,congestion_avoidance,0.9950083194675541,0.299,2000,601,3256,0,0,660,0,0.0407,148.3092,2986
4,lacam_official,True,20,10,1,congestion_avoidance,0,746,0,0,0,priority,746,9,0,,baseline_comparison,4,58,206,lacam_official,True,20,random_walk,59,0,103.0,astar,3451,1983,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",645.0,42,15124.606380006298,0.012954658694569009,74.15635544038378,68.58579088471849,437.6483514059552,68.44638069705094,61.0,ours,lifelong,101,0,50,20,108.65707297343761,11.140967428218573,10,3657,76d96b6c2fbbe259f05a4483db4839d1fd69c505bab2141655eadeadfe5e8eee,238,1,300.0,600,0,3,0,10.0,3,ok,2000,26.0,51061,congestion_avoidance,0.9959946595460614,0.373,2000,749,6241,0,0,600,0,0.06241,148.7456,6003
4,lacam_official,True,20,10,1,congestion_avoidance,0,632,0,0,0,priority,632,4,0,,baseline_comparison,4,98,208,lacam_official,True,20,random_walk,39,0,104.0,astar,3128,1902,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",245.0,97,15153.708387864754,0.010874938210578349,97.16545372374821,67.76424050632912,731.1013881508887,67.15981012658227,63.0,ours,lifelong,73,0,40,20,86.4425556617789,17.65647275606165,10,3336,ff2525533931c996d5883c877fac0ce13292503d00765676c3b5f66d3fcf857d,257,1,294.5,589,4,2,0,10.0,8,ok,2000,22.0,42445,congestion_avoidance,0.9984202211690363,0.316,2000,633,3468,0,0,589,0,0.04335,194.6344,3211
4,lacam_official,True,20,10,1,congestion_avoidance,0,465,0,0,0,priority,465,3,0,,baseline_comparison,4,16,206,lacam_official,True,20,random_walk,47,0,103.0,astar,2288,1938,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",391.0,16,15206.341775134206,0.005461767626613704,135.54781231458765,65.20430107526882,1183.9828603681701,64.6752688172043,60.0,ours,lifelong,37,0,30,20,63.75502593582496,15158.214565133676,10,2494,aea0ab0f9874231ee6eee3916f76e536755a5a2a2869a828c02e48d73da08704,193,1,262.0,524,6,0,0,10.0,16,ok,2000,11.0,30074,congestion_avoidance,1.0,0.2325,2000,465,1918,0,0,524,0,0.031966666666666664,271.3738,1725
4,lacam_official,True,20,10,1,congestion_avoidance,0,599,0,0,0,priority,599,5,0,,baseline_comparison,4,65,204,lacam_official,True,20,random_walk,60,0,102.0,astar,3117,1934,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",269.0,65,15219.559099990875,0.02348825587206397,110.00659521378111,63.26043405676127,877.3497063963327,63.242070116861434,57.0,ours,lifelong,73,0,40,20,87.98718877369537,13919.162493385369,10,3321,37935ed05faee7c5f35ef21bec85ab2a9f5433627caecdeed292a0a9028de609,157,1,364.0,728,2,4,0,10.0,8,ok,2000,47.0,37882,congestion_avoidance,0.9950166112956811,0.2995,2000,602,3457,0,0,728,0,0.0432125,220.371,3300
