assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_exogenous_attributable,wait_fraction,wall_clock_s,yield_wait_steps
0,748,0,0,0,priority,748,0,,scaling_exogenous,4,205,lacam_official,True,20,random_walk,62,0,102.5,astar,3466,1901,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",523.0,15143.350390018895,118.45493422643631,67.83823529411765,742.4789792940406,67.6951871657754,62.0,lifelong,0,50,20,155.39976552536245,22.052221186459025,10,3671,500ba12e30c3355a591a9b20bfc65dbf8e3e7b4c61dffedbadd6e6ddce8c3802,277,1,340.5,681,0,3,0,10.0,7,ok,2000,50636,conflict_aware,0.9986648865153538,0.374,2000,749,5183,0,681,0.05183,237.6824,4906
0,734,0,0,0,priority,734,0,,scaling_exogenous,4,201,lacam_official,True,20,random_walk,26,0,100.5,astar,2625,1912,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",431.0,15134.285284031648,124.42157864870387,66.1008174386921,828.7882993495282,65.79291553133515,61.0,lifelong,0,50,10,155.95911287819035,13681.247039989103,10,2826,0f13180d184dceb78c39e2b8f5c2c31d3634c44e2f14ba723ecee0eee5e1809e,146,1,168.5,337,0,2,0,10.0,9,ok,2000,48292,conflict_aware,0.9972826086956522,0.367,2000,736,4977,0,337,0.04977,249.6996,4831
0,723,0,0,0,priority,723,0,,scaling_exogenous,4,201,lacam_official,True,20,random_walk,23,0,100.5,astar,2462,1923,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",235.0,15162.829915003385,125.00802256667521,61.93222683264177,820.7078586840441,61.87413554633471,56.0,lifelong,0,50,10,164.07194267376326,14069.612941995729,10,2663,8b470bbe0aa711bdf0bd5d9f412155e073039982b669a84581aa0319ce5ce00b,232,1,194.5,389,8,6,0,10.0,5,ok,2000,44735,conflict_aware,0.9944979367262724,0.3615,2000,727,5075,0,389,0.05075,250.7711,4843
0,761,0,0,0,priority,761,0,,scaling_exogenous,4,204,lacam_official,True,20,random_walk,53,0,102.0,astar,3927,1980,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",318.0,15175.486368010752,125.40346359426621,66.02628120893561,804.0422099047825,65.94743758212877,60.0,lifelong,0,50,20,156.22979627223685,11175.07903319776,10,4131,e550c774524ba6da8196da684feefc17d8f4a0a2b5712b439a142d37ddf684ce,304,1,386.5,773,7,5,0,10.0,6,ok,2000,50186,conflict_aware,0.9960732984293194,0.3805,2000,764,4564,0,773,0.04564,251.4001,4260
0,736,0,0,0,priority,736,0,,scaling_exogenous,4,203,lacam_official,True,20,random_walk,69,0,101.5,astar,3568,1996,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",320.0,15161.883913038764,134.84019773892942,63.76902173913044,883.1412685318768,63.59103260869565,59.0,lifelong,0,50,20,159.41027610388116,14076.872891973457,10,3771,bb83b6cc088d904976a70beafda0ff93015452bbc697402ccc1a30d08812067b,653,1,461.0,922,3,6,0,10.0,6,ok,2000,46803,conflict_aware,0.997289972899729,0.368,2000,738,5061,0,922,0.05061,270.3956,4408
0,744,0,0,0,priority,744,0,,scaling_exogenous,4,201,lacam_official,True,20,random_walk,42,0,100.5,astar,2730,1897,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",333.0,15159.579611965455,139.82530448422767,63.151881720430104,968.0445024628419,62.905913978494624,56.0,lifelong,0,50,10,162.2405876230914,14473.547993984539,10,2931,1c13b5c850901650aa419109d61887f97ca6472f3503d73f00d297db91e0a9c2,255,1,225.0,450,2,4,0,10.0,9,ok,2000,46802,conflict_aware,0.9933244325767691,0.372,2000,749,6000,0,450,0.06,280.5204,5745
0,749,0,0,0,priority,749,0,,scaling_exogenous,4,222,lacam_official,True,20,random_walk,142,0,111.0,astar,6169,1961,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",234.0,15144.10511800088,142.36414108725148,69.38584779706275,857.0876465821932,69.37249666221629,65.0,lifelong,0,50,40,160.52375366271005,12634.562496695435,10,6391,676176acfadea09ecb2d9f362ac78db9346959feb1ff31dd2fbebed2bfee2651,623,1,760.5,1521,0,7,0,10.0,6,ok,2000,51960,conflict_aware,0.9973368841544608,0.3745,2000,751,3740,0,1521,0.0374,285.3786,3117
0,763,0,0,0,priority,763,0,,scaling_exogenous,4,201,lacam_official,True,20,random_walk,42,0,100.5,astar,2815,1961,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",248.0,15146.676573029254,145.29587359525613,64.37352555701179,1028.4062968121045,64.10091743119266,60.0,lifelong,0,50,10,163.3862634538673,14158.0830939929,10,3016,288690f7eb2484348ce7f9015697f840b3f75026dd324de172203e16c0b20cc4,259,1,212.5,425,5,7,0,10.0,7,ok,2000,48909,conflict_aware,0.9986910994764397,0.3815,2000,764,4066,0,425,0.04066,291.1567,3807
0,732,0,0,0,priority,732,0,,scaling_exogenous,4,201,lacam_official,True,20,random_walk,34,0,100.5,astar,2644,1879,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",347.0,15147.465048998129,152.61142524637398,62.33196721311475,1103.502779317538,62.19808743169399,55.0,lifelong,0,50,10,159.71030237560626,14419.828804966528,10,2845,93912dd18fea6184966a874fadb85796a94d875049641a18c938b5e76ada0f25,355,1,209.0,418,3,9,0,10.0,6,ok,2000,45529,conflict_aware,0.9905277401894452,0.366,2000,739,5901,0,418,0.05901,305.9681,5546
0,753,0,0,0,priority,753,0,,scaling_exogenous,4,222,lacam_official,True,20,random_walk,138,0,111.0,astar,5611,1894,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",285.0,15146.581536973827,153.7907946878404,63.742363877822044,950.3243073799043,63.52855245683931,59.0,lifelong,0,50,40,169.50955217471346,14452.986510228948,10,5833,a4260793f7c11cac834b49df19acbf9c3835a6b168d03a6ddeee9c4470e44219,580,1,845.0,1690,2,5,0,10.0,9,ok,2000,47837,conflict_aware,0.9986737400530504,0.3765,2000,754,3449,0,1690,0.03449,308.1261,2869
0,761,0,0,0,priority,761,0,,scaling_exogenous,4,201,lacam_official,True,20,random_walk,55,0,100.5,astar,3857,1982,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",284.0,15187.086693011224,154.6164569146349,64.97634691195795,1113.3307776270801,64.87516425755585,61.0,lifelong,0,50,20,159.80987492948768,14856.798836961389,10,4058,747019ddb5828fe68a33cbbdab9810053018339abb32b01778da7949eeb4ea98,311,1,350.5,701,5,6,0,10.0,9,ok,2000,49370,conflict_aware,0.9986876640419947,0.3805,2000,762,4054,0,701,0.04054,309.9332,3743
0,754,0,0,0,priority,754,0,,scaling_exogenous,4,268,lacam_official,True,20,random_walk,178,0,134.0,astar,8424,1982,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",248.0,15114.933550008573,156.8939662433695,72.14588859416446,807.3256118540172,71.53315649867373,68.0,lifelong,0,50,60,161.15395087690558,13058.310208970212,10,8692,f218e7d372f331baea05ccba6bf59c7487777bcc6021117c9d1e9cc7dfbeeb8d,737,1,1158.0,2316,0,12,0,10.0,3,ok,2000,53936,conflict_aware,1.0,0.377,2000,754,3251,0,2316,0.03251,315.017,2514
0,794,0,0,0,priority,794,0,,scaling_exogenous,4,202,lacam_official,True,20,random_walk,48,0,101.0,astar,3008,1946,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",219.0,15154.845892975572,161.74308895610739,64.73929471032746,1201.8160312278035,64.40050377833754,59.0,lifelong,0,50,10,144.4499905424891,15106.611939027789,10,3210,2b7dad1c182402c5746a9d569d44e32bc098d5d2144c2ad3f3ef9b8bbf61730b,292,1,267.0,534,4,2,0,10.0,14,ok,2000,51134,conflict_aware,0.9937421777221527,0.397,2000,799,4821,0,534,0.04821,324.3671,4529
0,789,0,0,0,priority,789,0,,scaling_exogenous,4,203,lacam_official,True,20,random_walk,69,0,101.5,astar,4018,1920,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",233.0,15146.380933991168,163.01672992896056,64.6552598225602,1187.1321018744522,64.35994930291508,61.0,lifelong,0,50,20,147.79905622417573,15093.704140081536,10,4221,078da287549e8c3d47622e67d9f5d45445c473e69adf2e2453b9a2fa2c8fae06,312,1,405.0,810,4,3,0,10.0,13,ok,2000,50780,conflict_aware,0.9974715549936789,0.3945,2000,791,4014,0,810,0.04014,326.6347,3702
0,748,0,0,0,priority,748,0,,scaling_exogenous,4,203,lacam_official,True,20,random_walk,22,0,101.5,astar,2741,1992,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",379.0,15229.19153800467,163.59193939028773,61.97192513368984,1192.5965812871018,61.74598930481283,55.0,lifelong,0,50,10,155.02459496783555,15112.018885632278,10,2944,46b1d3b1fc192ec2300168a36b9083866598d2f9ea39233d81e1a2cf4eafad1e,274,1,184.0,368,9,3,0,10.0,13,ok,2000,46186,conflict_aware,0.9986648865153538,0.374,2000,749,4795,0,368,0.04795,327.9234,4521
0,756,0,0,0,priority,756,0,,scaling_exogenous,4,208,lacam_official,True,20,random_walk,83,0,104.0,astar,3795,1882,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",250.0,15170.382665994111,167.1557989262219,61.53439153439153,1168.662246410979,61.198412698412696,57.0,lifelong,0,50,20,171.42213533225004,15122.393837093841,10,4003,1ccfbbbbf382a67f2197eacd5e5ead154f09d6f3df1e03aa5c0868f26076cfed,284,1,493.5,987,2,1,0,10.0,15,ok,2000,46266,conflict_aware,0.9986789960369881,0.378,2000,757,3320,0,987,0.0332,335.1012,3036
