applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
,,,,,,,0,1181,0,0,0,priority,1181,26,0,,temporal_progression,4,209,lacam_official,True,20,random_walk,338,0,104.5,astar,15256,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",615.0,12557.198525057174,491.26352778990986,151.54614733276884,2537.653002256871,150.78408128704487,138.0,ours,lifelong,0,150,100,591.506257338915,11829.4104764238,10,15465,07f0b792294805bb9a8914cd866bec6fbf45b2e377fc80ff1a09a95c2998200c,1534,1,1452.0,2904,1,45,0,10.0,0,ok,2000,178076,congestion_avoidance,0.9744224422442244,0.5905,2000,1212,20526,0,2000,2904,2000,0.06842,994.3573,18992
,,,,,,,0,1191,0,0,0,priority,1191,21,0,,temporal_progression,4,207,lacam_official,True,20,random_walk,379,0,103.5,astar,16827,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",636.0,13258.228485938162,612.4035090483376,153.7489504617968,3682.909708561776,153.02183039462636,140.0,ours,lifelong,0,150,100,716.6121656191534,12046.334974793715,10,17034,751313baff9190e67d5457277b649b13dae04d11d1679aeaa0b74dbac11a5889,1936,1,1533.0,3066,5,65,0,10.0,0,ok,2000,182249,congestion_avoidance,0.9778325123152708,0.5955,2000,1218,18107,0,2000,3066,2000,0.0603566666666666,1236.2637,16171
,,,,,,,0,1191,0,0,0,priority,1191,30,0,,temporal_progression,4,208,lacam_official,True,20,random_walk,361,0,104.0,astar,18700,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",844.0,13050.633877981454,731.3059837758192,151.73551637279596,4614.425688471573,150.208228379513,142.0,ours,lifelong,0,150,100,788.2191465585493,12081.86290321755,10,18908,ba075f849457bbc549fe585e071ce6881707655b1683bacd5b65f43439a01e2b,2150,1,1481.0,2962,0,82,0,10.0,0,ok,2000,178898,congestion_avoidance,0.9786359901396876,0.5955,2000,1217,18646,0,2000,2962,2000,0.0621533333333333,1474.5001,16496
,,,,,,,0,1198,0,0,0,priority,1198,24,0,,temporal_progression,4,205,lacam_official,True,20,random_walk,362,0,102.5,astar,18917,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",572.0,12725.868158973752,743.7744458214729,148.99248747913188,4851.094787601359,147.59766277128548,138.0,ours,lifelong,0,150,100,765.8259436488152,12169.304334884508,10,19122,b37c1f635db86c33db372faef847463a5de459dd0ceb017be71ddf58710ff588,1865,1,1558.5,3117,6,85,0,10.0,0,ok,2000,176822,congestion_avoidance,0.9827727645611156,0.599,2000,1219,17700,0,2000,3117,2000,0.059,1499.843,15835
,,,,,,,0,1184,0,0,0,priority,1184,25,0,,temporal_progression,4,203,lacam_official,True,20,random_walk,307,0,101.5,astar,19546,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",603.0,12831.275004078634,744.0411450215033,152.21199324324326,4914.590272394105,150.80320945945945,138.0,ours,lifelong,0,150,100,831.1549875536002,12085.04127318738,10,19749,e4151a482c47a6d1ee8a9eec103b76eba8c37207392a87eb1c102ac7fee0e6bc,1545,1,1389.0,2778,2,86,0,10.0,0,ok,2000,178551,congestion_avoidance,0.9728841413311422,0.592,2000,1217,18861,0,2000,2778,2000,0.06287,1500.1781,17316
,,,,,,,0,1208,0,0,0,priority,1208,19,0,,temporal_progression,4,209,lacam_official,True,20,random_walk,317,0,104.5,astar,18871,True,1970,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",531.0,14181.4597370103,755.7816441572504,151.15976821192052,4712.89361885506,150.3269867549669,140.0,ours,lifelong,0,150,100,791.3526751974131,12404.743749182671,10,19080,510ece337e378fe34cca068f2167e21b550e05267dcf51580de727eb6221ec65,2230,1,1416.5,2833,7,83,0,10.0,0,ok,2000,181595,congestion_avoidance,0.9821138211382112,0.604,2000,1230,16417,0,2000,2833,2000,0.0547233333333333,1524.4525,14187
,,,,,,,0,1224,0,0,0,priority,1224,8,0,,temporal_progression,4,216,lacam_official,True,20,random_walk,333,0,108.0,astar,19105,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",600.0,15168.87674294412,774.8989899090375,153.21241830065358,5042.271180622198,152.45343137254903,140.0,ours,lifelong,0,150,100,836.550257739145,13192.0465247822,10,19321,d6464f6375a52ebb9f9c82a58ff4eb58d263aa6498eb44c6d09e872b8218799a,2313,1,1431.0,2862,3,82,0,10.0,7,ok,2000,186603,congestion_avoidance,0.988691437802908,0.612,2000,1238,14247,0,2000,2862,2000,0.04749,1561.4497,11934
,,,,,,,0,1123,0,0,0,priority,1123,15,0,,temporal_progression,4,201,lacam_official,True,20,random_walk,353,0,100.5,astar,18934,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",493.0,12763.947330066005,777.5290070998599,153.21816562778272,5293.149519510757,152.47373107747106,141.0,ours,lifelong,0,150,100,984.2325958714353,12306.53403501492,10,19135,d69573f5b1332ae515e259929b53756392d9a92629b074caab3bfbfcd0b2a056,1556,1,1483.5,2967,8,91,0,10.0,0,ok,2000,171228,congestion_avoidance,0.979075850043592,0.5615,2000,1147,16410,0,2000,2967,2000,0.0547,1567.2709,14854
,,,,,,,0,1175,0,0,0,priority,1175,23,0,,temporal_progression,4,208,lacam_official,True,20,random_walk,301,0,104.0,astar,22584,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",759.0,13356.27885395661,789.4630975384498,165.22893617021276,5315.4221259409005,163.43659574468086,151.0,ours,lifelong,0,150,100,875.613874185363,11955.12994743185,10,22792,054be6973d8f1b66a198d3bb8d71fe22907a7f3b132dafbc6c0be10d5d3da145,2129,1,1280.0,2560,9,96,0,10.0,0,ok,2000,192038,congestion_avoidance,0.9840871021775544,0.5875,2000,1194,18512,0,2000,2560,2000,0.0617066666666666,1590.862,16383
,,,,,,,0,1253,0,0,0,priority,1253,9,0,,temporal_progression,4,202,lacam_official,True,20,random_walk,292,0,101.0,astar,26227,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",539.0,12798.923048074355,889.3394175767899,167.66320830007982,6456.677371454494,165.99920191540303,158.0,ours,lifelong,0,150,100,11446.70787472278,12073.694898671238,10,26429,534a4b3146ae07afe32fa13be32fe900ea239fd3237a4e330b75163d4962d9cc,2336,1,1172.5,2345,4,114,0,10.0,0,ok,2000,207997,congestion_avoidance,0.9842890809112332,0.6265,2000,1273,16280,0,2000,2345,2000,0.0542666666666666,1791.2667,13944
