nohup: ignoring input
2026-05-20 19:14:14,980 INFO paper_harness | manifest expanded: 40 runs (config=temporal_progression.yaml)
2026-05-20 19:14:14,980 INFO paper_harness | validate_config_consistency: temporal_progression steps == 2000 (all 40 runs)
2026-05-20 19:14:14,980 INFO paper_harness | resume: 10 runs remaining (30 already complete)
2026-05-20 19:14:15,513 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,541 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,545 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,554 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,559 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,662 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,771 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,853 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,854 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:15,914 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 19:14:29,614 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:29,955 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:31,183 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:31,380 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:31,736 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:33,588 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:33,610 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 0 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:34,287 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:36,296 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:41,116 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:41,470 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:41,652 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 190 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:42,630 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:43,143 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:43,418 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:44,982 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:45,478 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:45,513 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 10 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:47,654 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:52,716 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:52,782 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:53,131 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 200 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:53,859 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:54,600 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:54,677 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:56,243 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:56,730 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 40 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:57,069 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 20 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:14:58,875 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:03,935 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:04,195 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:04,453 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 210 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:05,062 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:05,844 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:06,298 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:07,525 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:07,866 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 50 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:08,309 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 30 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:10,089 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 40 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:15,027 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 40 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:15,345 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 40 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:15,741 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 220 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:16,259 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 40 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
2026-05-20 19:15:17,127 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'LaCAMOfficialSolver' returned status=error at step 40 (error_msg='solver self-reported solved=0 (budget exhaustion: no initial solution within -t)'); reusing previous PlanBundle.
