nohup: ignoring input
2026-05-20 16:55:09,758 INFO paper_harness | manifest expanded: 40 runs (config=temporal_progression.yaml)
2026-05-20 16:55:09,758 INFO paper_harness | validate_config_consistency: temporal_progression steps == 2000 (all 40 runs)
2026-05-20 16:55:09,760 INFO paper_harness | resume: 20 runs remaining (20 already complete)
2026-05-20 16:55:10,355 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,369 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,378 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,394 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,420 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,535 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,662 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,699 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,746 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,837 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,857 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,861 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,884 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,920 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,948 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:10,973 INFO ha_lmapf.simulation.simulator | [exogenous-model] map=data/maps/warehouse-10-20-10-2-2.map overriding human_model 'random_walk' -> 'aisle'
2026-05-20 16:55:15,279 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:16,297 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:17,316 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:18,333 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:19,346 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:20,364 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:21,376 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:22,393 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:23,412 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:24,425 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:25,441 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:26,455 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:27,472 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:28,484 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 0 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:29,498 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:30,511 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:31,524 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:32,537 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:33,551 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:34,563 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:35,590 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:36,607 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 30 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:37,623 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:38,639 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 10 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:39,653 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:40,670 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:41,683 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 30 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:42,701 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:43,717 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:44,732 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 30 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:45,748 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:46,762 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 40 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:47,775 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:48,789 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 20 (error_msg='rc=-11'); reusing previous PlanBundle.
2026-05-20 16:55:49,805 WARNING ha_lmapf.global_tier.rolling_horizon | [rolling-horizon] solver 'RHCRSolver' returned status=error at step 30 (error_msg='rc=-11'); reusing previous PlanBundle.
