assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_exogenous_attributable,wait_fraction,wall_clock_s,yield_wait_steps
0,309,0,0,0,token,309,0,,token_passing_ablation,4,166,lacam_official,True,20,random_walk,129,0,110.66666666666666,astar,2919,1495,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",645.0,60.88515999726951,84.03874264793315,155.63106796116506,27.397662241303596,152.14563106796118,146.0,lifelong,0,50,100,325.4676575452321,46.36357125127688,10,3085,382ba537bd7af78e3bba0769101dd954601812d965f705bc31b4d52184c21ffb,336,1,624.0,936,0,0,0,10.0,0,ok,1500,47013,conflict_aware,0.9840764331210191,0.206,1500,314,2541,0,936,0.03388,131.1804,2205
0,311,0,0,0,priority,311,0,,token_passing_ablation,4,169,lacam_official,True,20,random_walk,105,0,112.66666666666667,astar,2992,1495,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",619.0,15126.500685000792,91.25946114355854,158.32797427652733,117.95973703823157,154.86495176848874,142.0,lifelong,0,50,100,302.58307522453833,48.315383621957146,10,3161,fba1f7db552337e46400854c76f3689a9841e052b0a77cdcebe78ead92b621dc,320,1,552.6666666666666,829,0,0,0,10.0,1,ok,1500,48163,conflict_aware,0.9904458598726115,0.20733333333333334,1500,314,2678,0,829,0.035706666666666664,141.6034,2358
0,302,0,0,0,priority,302,0,,token_passing_ablation,4,173,lacam_official,True,20,random_walk,74,0,115.33333333333333,astar,3270,1463,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",636.0,14383.405938977376,93.13700256314284,160.3476821192053,112.14677084538806,157.2251655629139,145.0,lifelong,0,50,100,323.5170877800556,50.356691412162036,10,3443,1f5a4c26966ccf787fe799fe8e45c238066354cebf21a8d48ec6bbe498a67ca5,312,1,422.6666666666667,634,5,1,0,10.0,0,ok,1500,47482,conflict_aware,0.967948717948718,0.20133333333333334,1500,312,2481,0,634,0.03308,144.5618,2169
0,306,0,0,0,priority,306,0,,token_passing_ablation,4,157,lacam_official,True,20,random_walk,80,0,104.66666666666667,astar,2722,1477,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",461.0,13495.576508983504,94.18403480981942,144.95098039215685,111.1244711832879,143.99019607843138,133.5,lifelong,0,50,100,344.61411748779926,40.37438676459709,10,2879,c511324352a4995431469d2e619f57ed14a770d82f7369a1676396a6f9302880,321,1,510.6666666666667,766,1,1,0,10.0,0,ok,1500,44061,conflict_aware,0.9683544303797469,0.204,1500,316,3153,0,766,0.04204,145.9196,2832
0,310,0,0,0,token,310,0,,token_passing_ablation,4,158,lacam_official,True,20,random_walk,82,0,105.33333333333333,astar,2917,1498,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",411.0,15116.254410997499,96.4083545381048,147.81290322580645,122.48794188210151,146.86451612903227,133.5,lifelong,0,50,100,333.75483727722894,46.36710393533577,10,3075,287a2b094016089863220053812d675d48846c71df0b8f989a12cc5269ca129a,294,1,504.6666666666667,757,1,0,0,10.0,1,ok,1500,45528,conflict_aware,0.9810126582278481,0.20666666666666667,1500,316,2233,0,757,0.029773333333333332,149.8885,1939
0,309,0,0,0,priority,309,0,,token_passing_ablation,4,169,lacam_official,True,20,random_walk,109,0,112.66666666666667,astar,3099,1498,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",817.0,15104.198838002048,98.81279704766348,153.24271844660194,117.07108690659653,151.4401294498382,141.0,lifelong,0,50,100,360.3259810392044,43.4297630097717,10,3268,f794178d700fd87f086d19f2ed029ed99b888e811af2aa4a10e53f2c9b7e8a49,440,1,540.0,810,6,0,0,10.0,1,ok,1500,46795,conflict_aware,0.9566563467492261,0.206,1500,323,2521,0,810,0.033613333333333335,153.3579,2081
0,317,0,0,0,priority,317,0,,token_passing_ablation,4,164,lacam_official,True,20,random_walk,63,0,109.33333333333334,astar,3734,1492,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",901.0,14010.873763996642,135.93126940948423,162.5236593059937,511.4032433261078,159.85804416403786,150.0,lifelong,0,50,100,301.2701434956398,58.48044413141904,10,3898,7f359f2ed8f97a8aff936b2522e0fb6f62e212e6eeeb44d9d8196c72b5e1073d,346,1,438.66666666666663,658,3,6,0,10.0,0,ok,1500,50675,conflict_aware,0.9635258358662614,0.21133333333333335,1500,329,2480,0,658,0.03306666666666667,208.7671,2134
0,310,0,0,0,priority,310,0,,token_passing_ablation,4,156,lacam_official,True,20,random_walk,92,0,104.0,astar,2953,1490,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",462.0,14008.06843600003,140.44032462860923,148.84193548387097,623.6843819702373,148.0225806451613,146.5,lifelong,0,50,100,343.2037293066968,59.760493226349354,10,3109,f7dc2cdfc5b43edf809bab5a0a440b9ac021b0c43a5c833ac11ee1ab408c56bd,238,1,491.33333333333337,737,7,7,0,10.0,0,ok,1500,45887,conflict_aware,0.9779179810725552,0.20666666666666667,1500,317,2153,0,737,0.028706666666666665,215.2272,1915
0,305,0,0,0,token,305,0,,token_passing_ablation,4,170,lacam_official,True,20,random_walk,111,0,113.33333333333333,astar,3272,1495,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",599.0,14630.719319044147,92.73354246075421,162.6688524590164,111.74364991705207,159.42950819672132,148.0,lifelong,0,50,100,302.6944823999656,46.68452267069366,10,3442,d2b6d4df9f7067e93e1ad5f9d0f276c8c029d71bbedb8a71d9ce7aebb76056c8,508,1,512.6666666666667,769,5,1,0,10.0,0,ok,1500,48626,conflict_aware,0.9775641025641025,0.20333333333333334,1500,312,2274,0,769,0.03032,143.9289,1766
0,325,0,0,0,priority,325,0,,token_passing_ablation,4,168,lacam_official,True,20,random_walk,73,0,112.0,astar,3777,1498,data/maps/warehouse-10-20-10-2-2.map,"{""warehouse-10-20-10-2-2"": ""aisle""}",394.0,15088.127024006099,198.25727646697,154.6646153846154,1035.8802240551172,153.78153846153847,147.0,lifelong,0,50,100,312.83646369120106,13279.096725684942,10,3945,d7b2d2cef7a448fdb5cdfb901d47600806c8acfd80791edc17c7e5293aaea529,402,1,493.33333333333337,740,9,10,0,10.0,2,ok,1500,49979,conflict_aware,0.9730538922155688,0.21666666666666667,1500,334,1965,0,740,0.0262,302.1132,1563
