algorithm_variant,applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,arrival_rate_per_step,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,collisions_agent_human_vertex,communication_mode,completed_tasks,deadlock_count,delay_events,delay_wait_steps,error_msg,experiment,fallback_reuse_count,fov_radius,global_no_progress_steps,global_replans,global_solver,guidance_coverage,guidance_covered_ticks,guidance_eligible_ticks,guidance_follow_rate,guidance_followed_ticks,hard_safety,horizon,human_model,human_passive_wait_steps,humans_block_on_agent_cells,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,mean_task_completion_span,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,physics_revert_wait_steps,replan_every,replans,run_id,run_valid,safe_wait_steps,safety_radius,safety_violation_agent_ticks,safety_violation_events,safety_violation_rate,safety_violation_rate_per_agent_step,safety_violations,seed,solver_errors,solver_fail_fraction,solver_fallback_reuses,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,throughput_utilization,total_released_tasks,total_wait_steps,validity_threshold,violations_agent_attributable,violations_agent_attributable_agent_ticks,violations_agent_attributable_events,violations_agent_timeline_len,violations_def1_agent_attributable,violations_def1_agent_attributable_d0,violations_def1_agent_attributable_dgt0,violations_def1_exogenous_attributable,violations_def1_exogenous_attributable_d0,violations_def1_exogenous_attributable_dgt0,violations_def1_response_attributable,violations_def1_safety_violations,violations_exogenous_attributable,violations_exogenous_attributable_agent_ticks,violations_exogenous_attributable_events,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.392,0,771,0,0,0,511,priority,771,33,0,0,,calibration_probe,0,4,0,81,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,128,False,0,40.5,astar,3785,False,1979,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",983.0,0,90.28929900000549,0.0624385447394297,156.40786083349923,148.62516212710764,31.136346333333357,148.01945525291828,148.62516212710764,129.0,ours,lifelong,87,0,100,50,513.1961603500173,42.819023999982164,765,40,3866,a6f581b51b25e40171c7e14d182b616a7228cf6bc8242254f45e9d145c42e3f1,True,381,1,2085,1008,1042.5,0.010425,2085,1,0,0.0,0,0,30.0,0,ok,2000,127.0,114123,congestion_avoidance,0.9834183673469388,0.3855,2000,0.9834183673469388,784,21744,0.05,0,0,0,0,0,0,0,1588,478,1110,497,2085,2085,2085,1008,0,0.10872,324.7984,20598
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.403,0,782,0,0,0,442,priority,782,40,0,0,,calibration_probe,0,4,0,90,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,130,False,0,45.0,astar,4026,False,1967,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",702.0,0,127.13218800001869,0.03219512195121951,159.95056324699956,148.3299232736573,35.887757966666335,147.5447570332481,148.3299232736573,131.0,ours,lifelong,93,0,100,50,523.9900999500179,52.34349054999824,927,40,4116,aa6af501227f80f2d4ed4082b5d0a203de1376fe07bd28825910fdb6e9b4ae8d,True,396,1,1871,927,935.5,0.009355,1871,2,0,0.0,0,0,30.0,0,ok,2000,66.0,115380,congestion_avoidance,0.9702233250620348,0.391,2000,0.9702233250620347,806,23962,0.05,0,0,0,0,0,0,0,1434,404,1030,437,1871,1871,1871,927,0,0.11981,333.7481,22639
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.4025,0,789,0,0,0,473,priority,789,35,0,0,,calibration_probe,1,4,0,88,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,107,False,0,44.0,astar,3860,False,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",709.0,0,35423.212605999994,0.028037383177570093,171.1378095780005,150.8681875792142,435.4336649999957,150.42205323193917,150.8681875792142,136.0,ours,lifelong,96,0,100,50,493.13984365000465,49.24946050000328,1031,40,3948,6d0a0faede72becea85f0c0512bbc3723c299ddb4096e36ab51e2dadd19b8f0d,True,243,1,1906,933,953.0,0.00953,1906,0,0,0.011364,1,0,30.0,1,ok,2000,57.0,118683,congestion_avoidance,0.9801242236024845,0.3945,2000,0.9801242236024844,805,23620,0.05,0,0,0,0,0,0,0,1432,429,1003,474,1906,1906,1906,933,0,0.1181,354.2015,22346
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.4025,0,792,0,0,0,519,priority,792,37,0,0,,calibration_probe,1,4,19,92,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,127,False,0,46.0,astar,4011,False,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",771.0,19,34802.48582600001,0.029960707269155205,178.37389221299964,147.69444444444446,409.64444886956534,147.23863636363637,147.69444444444446,133.0,ours,lifelong,96,0,100,50,525.8768675499851,43.50087869998874,854,30,4103,484b828e53a5d3df923afbe48c7f598619139e54d1c9a1a0e1092e756f475e22,True,381,1,2119,1031,1059.5,0.010595,2119,0,1,0.01087,1,0,30.0,0,ok,2000,61.0,116613,congestion_avoidance,0.9838509316770186,0.396,2000,0.9838509316770186,805,21313,0.05,0,0,0,0,0,0,0,1584,472,1112,535,2119,2119,2119,1031,0,0.106565,369.8527,20078
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.2925,0,575,0,0,0,352,priority,575,21,0,0,,calibration_probe,0,4,0,91,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,92,False,0,45.5,astar,3303,False,1962,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1207.0,0,134.48883199998818,0.0273224043715847,103.97747309649986,150.5391304347826,29.25958687912241,150.19304347826088,150.5391304347826,134.0,ours,lifelong,58,0,75,50,407.105622200055,41.99039549999384,1272,40,3394,9dc29d5cb9024667fdb292f1787273b8fa29e04b0e3e6084626d868188456907,True,278,1,1445,699,722.5,0.009633333333333334,1445,0,0,0.0,0,0,30.0,0,ok,2000,55.0,86361,congestion_avoidance,0.9829059829059829,0.2875,2000,0.9829059829059829,585,13869,0.05,0,0,0,0,0,0,0,1095,330,765,350,1445,1445,1445,699,0,0.09246,217.2412,12319
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.2985,0,588,0,0,0,324,priority,588,20,0,0,,calibration_probe,0,4,0,89,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,71,False,0,44.5,astar,3071,False,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",835.0,0,82.23156099995776,0.02629016553067186,103.3457665389999,150.19387755102042,28.584190842694582,148.49319727891157,150.19387755102042,135.0,ours,lifelong,55,0,75,50,412.3306982499571,39.09913879999749,546,40,3160,b1a270dd9ffc417c3630d5d111918286b86d61918a9126c6ab09f9d9c0c3d3a0,True,348,1,1238,573,619.0,0.008253333333333333,1238,1,0,0.0,0,0,30.0,0,ok,2000,54.0,87314,congestion_avoidance,0.9849246231155779,0.294,2000,0.9849246231155778,597,13687,0.05,0,0,0,0,0,0,0,916,299,617,322,1238,1238,1238,573,0,0.09124666666666667,216.7373,12793
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.392,0,764,0,0,0,353,priority,764,43,0,0,,calibration_probe,0,4,0,97,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,91,False,0,48.5,astar,3993,False,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",717.0,0,134.5592330000045,0.03249630723781388,149.64776308949928,150.2238219895288,33.40263839175481,149.56020942408378,150.2238219895288,134.0,ours,lifelong,88,0,100,50,490.0571276999983,46.71393640001042,1074,30,4090,cb3756c9348e7ac4fcc966ebc145091732d0465e0f15883b0f1cbdf067f584c5,True,247,1,1439,721,719.5,0.007195,1439,1,0,0.0,0,0,30.0,0,ok,2000,66.0,114264,congestion_avoidance,0.9744897959183674,0.382,2000,0.9744897959183674,784,25147,0.05,0,0,0,0,0,0,0,1101,317,784,338,1439,1439,1439,721,0,0.125735,311.1089,23826
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.403,0,783,0,0,0,517,priority,783,42,0,0,,calibration_probe,0,4,0,91,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,154,False,0,45.5,astar,3973,False,1984,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",912.0,0,56.97013399998241,0.026947574718275354,160.4718669494983,147.79821200510855,33.53199482417402,146.9757343550447,147.79821200510855,127.0,ours,lifelong,94,0,100,50,536.0103000500601,49.73161350002897,1025,30,4064,4074af7497fbae72ae2be671f75762e99f5ba0ad7a00db6ee1044faffd672d91,True,253,1,2034,958,1016.9999999999999,0.01017,2034,2,0,0.0,0,0,30.0,0,ok,2000,55.0,115082,congestion_avoidance,0.9714640198511166,0.3915,2000,0.9714640198511166,806,24451,0.05,0,0,0,0,0,0,0,1523,460,1063,511,2034,2034,2034,958,0,0.122255,334.2004,23173
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.3095,0,608,0,0,0,419,priority,608,24,0,0,,calibration_probe,0,4,0,90,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,135,False,0,45.0,astar,3038,False,1974,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",603.0,0,80.63455299998168,0.03788246721709568,99.66892628249998,144.51644736842104,29.259438122220317,143.55098684210526,144.51644736842104,130.5,ours,lifelong,53,0,75,50,397.04154764996815,41.84233390005829,546,40,3128,8f1ace73cec5578c4e7a69b6073af40c5f68ec97f874703305a159364e9c3af0,True,293,1,1807,894,903.5,0.012046666666666667,1807,2,0,0.0,0,0,30.0,0,ok,2000,78.0,87279,congestion_avoidance,0.9822294022617124,0.304,2000,0.9822294022617124,619,11978,0.05,0,0,0,0,0,0,0,1384,388,996,423,1807,1807,1807,894,0,0.07985333333333333,208.9786,11139
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.2925,0,576,0,0,0,374,priority,576,24,0,0,,calibration_probe,0,4,0,97,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,88,False,0,48.5,astar,3282,False,1946,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",642.0,0,50.934205000089605,0.027335984095427434,100.67571991049971,148.8125,25.976199505156934,148.47222222222223,148.8125,135.5,ours,lifelong,58,0,75,50,390.92458035000277,38.297559400029954,1148,30,3379,cb67283b37c447b0a41eb4f179b25217a0e35088ba9222356ca19886bf424d99,True,292,1,1528,750,764.0,0.010186666666666667,1528,0,0,0.0,0,0,30.0,0,ok,2000,55.0,85520,congestion_avoidance,0.9846153846153847,0.288,2000,0.9846153846153846,585,12909,0.05,0,0,0,0,0,0,0,1164,348,816,364,1528,1528,1528,750,0,0.08606,210.0841,11469
