algorithm_variant,applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,arrival_rate_per_step,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,collisions_agent_human_vertex,communication_mode,completed_tasks,deadlock_count,delay_events,delay_wait_steps,error_msg,experiment,fallback_reuse_count,fov_radius,global_no_progress_steps,global_replans,global_solver,guidance_coverage,guidance_covered_ticks,guidance_eligible_ticks,guidance_follow_rate,guidance_followed_ticks,hard_safety,horizon,human_model,human_passive_wait_steps,humans_block_on_agent_cells,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,mean_task_completion_span,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,physics_revert_wait_steps,replan_every,replans,run_id,run_valid,safe_wait_steps,safety_radius,safety_violation_agent_ticks,safety_violation_events,safety_violation_rate,safety_violation_rate_per_agent_step,safety_violations,seed,solver_errors,solver_fail_fraction,solver_fallback_reuses,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,throughput_utilization,total_released_tasks,total_wait_steps,validity_reason,validity_threshold,violations_agent_attributable,violations_agent_attributable_agent_ticks,violations_agent_attributable_events,violations_agent_timeline_len,violations_def1_agent_attributable,violations_def1_agent_attributable_d0,violations_def1_agent_attributable_dgt0,violations_def1_exogenous_attributable,violations_def1_exogenous_attributable_d0,violations_def1_exogenous_attributable_dgt0,violations_def1_response_attributable,violations_def1_safety_violations,violations_exogenous_attributable,violations_exogenous_attributable_agent_ticks,violations_exogenous_attributable_events,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.4025,0,792,0,0,0,0,priority,792,39,0,0,,diagnostic_probe_true_baseline,0,4,9,91,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,137,True,0,45.5,astar,3730,False,1989,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",868.0,8,82.61101500011137,0.03292383292383293,189.92377468200388,148.75,39.95507171427292,148.28030303030303,148.75,132.0,ours,lifelong,96,0,100,50,599.0334188001725,61.24266450001414,1569,30,3821,1ed6692385f660256f47a22223a5e4a44ec17c0525c4d8adf443e166842326ae,False,494,1,1142,1003,571.0,0.00571,1142,0,0,0.0,0,0,30.0,0,ok,2000,67.0,117438,congestion_avoidance,0.9838509316770186,0.396,2000,0.9838509316770186,805,22551,deadlock-fraction,0.05,0,0,0,0,0,0,0,1142,0,1142,0,1142,1142,1142,1003,0,0.112755,393.8175,20488
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.4025,0,789,0,0,0,0,priority,789,31,0,0,,diagnostic_probe_true_baseline,0,4,0,89,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,167,True,0,44.5,astar,4017,False,1940,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",912.0,0,64.85639899983653,0.027954879843060325,190.26573285749203,150.46641318124207,39.70589502251754,149.9315589353612,150.46641318124207,137.0,ours,lifelong,96,0,100,50,590.1297194002153,56.09614260010857,984,40,4106,e713d6c6000ea6ec37c2ec5c3d422197df62041d745aeb26b571b87a7dec0f69,False,547,1,1376,1207,688.0,0.00688,1376,0,0,0.0,0,0,30.0,0,ok,2000,57.0,118296,congestion_avoidance,0.9801242236024845,0.3945,2000,0.9801242236024844,805,23109,deadlock-fraction,0.05,0,0,0,0,0,0,0,1376,0,1376,0,1376,1376,1376,1207,0,0.115545,394.6036,21578
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.392,0,772,0,0,0,0,priority,772,29,0,0,,diagnostic_probe_true_baseline,0,4,0,86,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,146,True,0,43.0,astar,3714,False,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1066.0,0,135.89686600016648,0.032940019665683384,195.72895828150422,148.32901554404145,38.67850523255753,147.72150259067357,148.32901554404145,130.0,ours,lifelong,87,0,100,50,613.3175734999667,50.57647400008136,1074,40,3800,3d6f951eb63a7c267372d39c6b0c486d99a7ce8570f89b6cb4e2a0bbf2306bf6,False,453,1,1054,906,527.0,0.00527,1054,1,0,0.0,0,0,30.0,0,ok,2000,67.0,114041,congestion_avoidance,0.9846938775510204,0.386,2000,0.9846938775510204,784,22623,deadlock-fraction,0.05,0,0,0,0,0,0,0,1054,0,1054,0,1054,1054,1054,906,0,0.113115,406.0831,21096
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.403,0,783,0,0,0,0,priority,783,37,0,0,,diagnostic_probe_true_baseline,0,4,0,89,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,142,True,0,44.5,astar,4267,False,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",892.0,0,105.16521900035514,0.024390243902439025,195.75553729849594,148.56704980842912,41.19157713482687,147.72030651340995,148.56704980842912,130.0,ours,lifelong,93,0,100,50,632.2456881500102,56.36012980012309,826,40,4356,da73080c2099ece15b737df1889c511a3b350e2bf00f1395a1f5b0b806eeb601,False,327,1,1101,955,550.5,0.005505,1101,2,0,0.0,0,0,30.0,0,ok,2000,50.0,115665,congestion_avoidance,0.9714640198511166,0.3915,2000,0.9714640198511166,806,23665,deadlock-fraction,0.05,0,0,0,0,0,0,0,1101,0,1101,0,1101,1101,1101,955,0,0.118325,406.1784,22512
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.2985,0,590,0,0,0,0,priority,590,21,0,0,,diagnostic_probe_true_baseline,0,4,0,88,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,98,True,0,44.0,astar,3126,False,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",799.0,0,58.27177799983474,0.0189873417721519,118.93482370100128,149.8050847457627,32.982110749969706,148.11016949152543,149.8050847457627,130.5,ours,lifelong,55,0,75,50,464.3679425499158,44.61868069988668,505,40,3214,b2886ae6406895090729db94328e837f38fce8a379a5517fe0889e7f296fadb5,False,304,1,959,856,479.5,0.006393333333333333,959,1,0,0.0,0,0,30.0,0,ok,2000,39.0,87385,congestion_avoidance,0.9882747068676717,0.295,2000,0.9882747068676717,597,13930,deadlock-fraction,0.05,0,0,0,0,0,0,0,959,0,959,0,959,959,959,856,0,0.09286666666666667,248.5516,13121
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.2925,0,582,0,0,0,0,priority,582,19,0,0,,diagnostic_probe_true_baseline,0,4,0,88,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,110,True,0,44.0,astar,3091,False,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",520.0,0,81.940718000169,0.0273224043715847,123.93853502249793,148.36769759450172,33.625502375002725,148.0257731958763,148.36769759450172,132.5,ours,lifelong,58,0,75,50,465.9256410496937,52.57292030009921,660,40,3179,a0fcee363091702a43f9138c4691e09c040070058dc286ac1f933cee8bba05b5,False,363,1,874,763,437.0,0.005826666666666667,874,0,0,0.0,0,0,30.0,0,ok,2000,55.0,86151,congestion_avoidance,0.9948717948717949,0.291,2000,0.9948717948717949,585,12399,deadlock-fraction,0.05,0,0,0,0,0,0,0,874,0,874,0,874,874,874,763,0,0.08266,258.7783,11376
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.392,0,767,0,0,0,0,priority,767,43,0,0,,diagnostic_probe_true_baseline,0,4,0,94,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,115,True,0,47.0,astar,3945,False,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1318.0,0,69.5250759999908,0.03249630723781388,184.71725427550268,152.41720990873534,38.18035094679467,151.7561929595828,152.41720990873534,133.0,ours,lifelong,88,0,100,50,593.2495453499769,56.05491484998309,984,30,4039,f93840e863cc4e55453a0782b1d0a0ee137bda9009926f8f2264b9f2e68986ac,False,290,1,1020,902,510.0,0.0051,1020,1,0,0.0,0,0,30.0,0,ok,2000,66.0,116397,congestion_avoidance,0.9783163265306123,0.3835,2000,0.9783163265306122,784,26179,deadlock-fraction,0.05,0,0,0,0,0,0,0,1020,0,1020,0,1020,1020,1020,902,0,0.130895,383.8046,24905
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.2925,0,579,0,0,0,0,priority,579,20,0,0,,diagnostic_probe_true_baseline,0,4,28,94,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,100,True,0,47.0,astar,3225,False,1949,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",695.0,28,78.00489400005972,0.027335984095427434,125.59777720200238,146.11917098445596,31.1537005851191,145.78065630397236,146.11917098445596,132.0,ours,lifelong,58,0,75,50,472.6774623495885,43.536390550093515,816,30,3319,7b633a0deb54822d277992d9555918da2c29157ccc4831f937cdfc6bd47dee6a,False,239,1,836,736,418.0,0.005573333333333333,836,0,0,0.0,0,0,30.0,0,ok,2000,55.0,84407,congestion_avoidance,0.9897435897435898,0.2895,2000,0.9897435897435898,585,11069,deadlock-fraction,0.05,0,0,0,0,0,0,0,836,0,836,0,836,836,836,736,0,0.07379333333333334,262.2886,10014
baseline,4,lacam_official,True,80,40,1,congestion_avoidance,0.3095,0,603,0,0,0,0,priority,603,23,0,0,,diagnostic_probe_true_baseline,1,4,0,91,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,128,True,0,45.5,astar,3258,False,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",734.0,0,35555.08570700022,0.02490421455938697,131.16802699849154,149.30348258706468,423.7667824835086,147.60033167495854,149.30348258706468,132.0,ours,lifelong,48,0,75,50,442.82233354995236,49.4095314995775,697,40,3349,b927e22b95bc0952f16f630e3f3d461e810c199d7cef9f2b4ac9bc6b472228cd,False,180,1,1155,1025,577.5,0.0077,1155,2,0,0.010989,1,0,30.0,1,ok,2000,52.0,89003,congestion_avoidance,0.9741518578352181,0.3015,2000,0.9741518578352181,619,13897,deadlock-fraction,0.05,0,0,0,0,0,0,0,1155,0,1155,0,1155,1155,1155,1025,0,0.09264666666666667,272.9812,13020
baseline,4,lacam_official,True,60,30,1,congestion_avoidance,0.2985,0,583,0,0,0,0,priority,583,32,0,0,,diagnostic_probe_true_baseline,0,4,0,95,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,73,True,0,47.5,astar,3161,False,1966,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",578.0,0,112.24213500008773,0.018968871595330738,129.67718388650474,145.17152658662093,33.04036528423622,143.38250428816465,145.17152658662093,133.0,ours,lifelong,55,0,75,50,509.0999775000455,42.6750015001744,774,30,3256,02023e3b8f4b057899d978a76a18b8869c8edcda9dad742e2d7d2d39620ec539,False,331,1,656,583,328.0,0.004373333333333333,656,1,0,0.0,0,0,30.0,0,ok,2000,39.0,83592,congestion_avoidance,0.9765494137353434,0.2915,2000,0.9765494137353433,597,13483,deadlock-fraction,0.05,0,0,0,0,0,0,0,656,0,656,0,656,656,656,583,0,0.08988666666666667,271.0071,12378
