algorithm_variant,applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,arrival_rate_per_step,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,collisions_agent_human_vertex,communication_mode,completed_tasks,deadlock_count,delay_events,delay_wait_steps,error_msg,experiment,fallback_reuse_count,fov_radius,global_no_progress_steps,global_replans,global_solver,guidance_coverage,guidance_covered_ticks,guidance_eligible_ticks,guidance_follow_rate,guidance_followed_ticks,hard_safety,horizon,human_model,human_passive_wait_steps,humans_block_on_agent_cells,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,mean_task_completion_span,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,physics_revert_wait_steps,replan_every,replans,run_id,run_valid,safe_wait_steps,safety_radius,safety_violation_agent_ticks,safety_violation_events,safety_violation_rate,safety_violation_rate_per_agent_step,safety_violations,seed,solver_errors,solver_fail_fraction,solver_fallback_reuses,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,throughput_utilization,total_released_tasks,total_wait_steps,validity_reason,validity_threshold,violations_agent_attributable,violations_agent_attributable_agent_ticks,violations_agent_attributable_events,violations_agent_timeline_len,violations_def1_agent_attributable,violations_def1_agent_attributable_d0,violations_def1_agent_attributable_dgt0,violations_def1_exogenous_attributable,violations_def1_exogenous_attributable_d0,violations_def1_exogenous_attributable_dgt0,violations_def1_response_attributable,violations_def1_safety_violations,violations_exogenous_attributable,violations_exogenous_attributable_agent_ticks,violations_exogenous_attributable_events,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.403,0,783,0,0,0,0,priority,783,37,0,0,,diagnostic_probe_true_evade,0,4,0,89,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,142,True,0,44.5,astar,4267,False,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",892.0,0,79.29953899974862,0.024390243902439025,189.5927892684972,148.56704980842912,40.173148505586184,147.72030651340995,148.56704980842912,130.0,ours,lifelong,93,0,100,50,595.046094500367,63.3282032000352,826,40,4356,c50b4c50518f9a794f5715758a732d7ea7f8a87d9ad26eaef558264b3bafd2aa,False,327,1,1101,955,550.5,0.005505,1101,2,0,0.0,0,0,30.0,0,ok,2000,50.0,115665,congestion_avoidance,0.9714640198511166,0.3915,2000,0.9714640198511166,806,23665,deadlock-fraction,0.05,0,0,0,0,0,0,0,1101,0,1101,0,1101,1101,1101,955,0,0.118325,393.9047,22512
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.392,0,772,0,0,0,0,priority,772,29,0,0,,diagnostic_probe_true_evade,0,4,0,86,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,146,True,0,43.0,astar,3714,False,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1066.0,0,129.4724229996973,0.032940019665683384,200.7363996720069,148.32901554404145,39.71788826742193,147.72150259067357,148.32901554404145,130.0,ours,lifelong,87,0,100,50,621.8040470500682,54.29575024982114,1074,40,3800,1a6c47cdf883c2ea7080023732d2bf07345bf1b2719be31552946e31138cd5b1,False,453,1,1054,906,527.0,0.00527,1054,1,0,0.0,0,0,30.0,0,ok,2000,67.0,114041,congestion_avoidance,0.9846938775510204,0.386,2000,0.9846938775510204,784,22623,deadlock-fraction,0.05,0,0,0,0,0,0,0,1054,0,1054,0,1054,1054,1054,906,0,0.113115,416.3985,21096
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.4025,0,789,0,0,0,0,priority,789,31,0,0,,diagnostic_probe_true_evade,0,4,0,89,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,167,True,0,44.5,astar,4017,False,1940,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",912.0,0,74.97324199994182,0.027954879843060325,201.4299365415061,150.46641318124207,43.140143820233135,149.9315589353612,150.46641318124207,137.0,ours,lifelong,96,0,100,50,632.8530982500522,64.54498240027533,984,40,4106,96978d263c3588ce6d7081c3787454c7d38aabf35490f2b7efd5730fa0f952ab,False,547,1,1376,1207,688.0,0.00688,1376,0,0,0.0,0,0,30.0,0,ok,2000,57.0,118296,congestion_avoidance,0.9801242236024845,0.3945,2000,0.9801242236024844,805,23109,deadlock-fraction,0.05,0,0,0,0,0,0,0,1376,0,1376,0,1376,1376,1376,1207,0,0.115545,418.1782,21578
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.4025,0,792,0,0,0,0,priority,792,39,0,0,,diagnostic_probe_true_evade,0,4,9,91,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,137,True,0,45.5,astar,3730,False,1989,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",868.0,8,87.24740000025122,0.03292383292383293,205.44292198750918,148.75,43.72270118684745,148.28030303030303,148.75,132.0,ours,lifelong,96,0,100,50,642.1191752004233,65.31595149999703,1569,30,3821,ac46622030e4e12000f6f6d57f0cec09e6c7d4465b0168eaadd07437f9a30316,False,494,1,1142,1003,571.0,0.00571,1142,0,0,0.0,0,0,30.0,0,ok,2000,67.0,117438,congestion_avoidance,0.9838509316770186,0.396,2000,0.9838509316770186,805,22551,deadlock-fraction,0.05,0,0,0,0,0,0,0,1142,0,1142,0,1142,1142,1142,1003,0,0.112755,426.1034,20488
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.2925,0,582,0,0,0,0,priority,582,19,0,0,,diagnostic_probe_true_evade,0,4,0,88,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,110,True,0,44.0,astar,3091,False,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",520.0,0,64.89803900012703,0.0273224043715847,126.24817690800343,148.36769759450172,33.724606943187815,148.0257731958763,148.36769759450172,132.5,ours,lifelong,58,0,75,50,468.06705840001536,56.91781315024399,660,40,3179,90c16f3cb2e17b766f06eb0cadbfd9766d510f460adc07c5af25f6db12be461e,False,363,1,874,763,437.0,0.005826666666666667,874,0,0,0.0,0,0,30.0,0,ok,2000,55.0,86151,congestion_avoidance,0.9948717948717949,0.291,2000,0.9948717948717949,585,12399,deadlock-fraction,0.05,0,0,0,0,0,0,0,874,0,874,0,874,874,874,763,0,0.08266,263.6599,11376
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.2985,0,590,0,0,0,0,priority,590,21,0,0,,diagnostic_probe_true_evade,0,4,0,88,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,98,True,0,44.0,astar,3126,False,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",799.0,0,112.19049500004985,0.0189873417721519,126.85572164099678,149.8050847457627,35.406936886369586,148.11016949152543,149.8050847457627,130.5,ours,lifelong,55,0,75,50,483.9141489502253,46.53534485014461,505,40,3214,2629a381b8cf895b81dcbedb244397a9b7ff26e02dd5d26de9dade9d454bfdf7,False,304,1,959,856,479.5,0.006393333333333333,959,1,0,0.0,0,0,30.0,0,ok,2000,39.0,87385,congestion_avoidance,0.9882747068676717,0.295,2000,0.9882747068676717,597,13930,deadlock-fraction,0.05,0,0,0,0,0,0,0,959,0,959,0,959,959,959,856,0,0.09286666666666667,265.3456,13121
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.392,0,767,0,0,0,0,priority,767,43,0,0,,diagnostic_probe_true_evade,0,4,0,94,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,115,True,0,47.0,astar,3945,False,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1318.0,0,74.83853899975657,0.03249630723781388,187.63184041849922,152.41720990873534,38.88734667025153,151.7561929595828,152.41720990873534,133.0,ours,lifelong,88,0,100,50,597.5252873003001,54.36218645011195,984,30,4039,c055804e91ce8402aef32fb50417e91b3d1bf8d356b222a82e11f68440d1e9c7,False,290,1,1020,902,510.0,0.0051,1020,1,0,0.0,0,0,30.0,0,ok,2000,66.0,116397,congestion_avoidance,0.9783163265306123,0.3835,2000,0.9783163265306122,784,26179,deadlock-fraction,0.05,0,0,0,0,0,0,0,1020,0,1020,0,1020,1020,1020,902,0,0.130895,390.0224,24905
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.3095,0,603,0,0,0,0,priority,603,23,0,0,,diagnostic_probe_true_evade,1,4,0,91,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,128,True,0,45.5,astar,3258,False,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",734.0,0,35610.78078899982,0.02490421455938697,135.46031683799288,149.30348258706468,424.7767416043363,147.60033167495854,149.30348258706468,132.0,ours,lifelong,48,0,75,50,465.065577849964,50.655124000059004,697,40,3349,3f9ca5ec7f8d70cb83995978237aa5626a6ed3d7976a1b0c4a1f3612116ba93d,False,180,1,1155,1025,577.5,0.0077,1155,2,0,0.010989,1,0,30.0,1,ok,2000,52.0,89003,congestion_avoidance,0.9741518578352181,0.3015,2000,0.9741518578352181,619,13897,deadlock-fraction,0.05,0,0,0,0,0,0,0,1155,0,1155,0,1155,1155,1155,1025,0,0.09264666666666667,281.9698,13020
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.2925,0,579,0,0,0,0,priority,579,20,0,0,,diagnostic_probe_true_evade,0,4,28,94,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,100,True,0,47.0,astar,3225,False,1949,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",695.0,28,139.38726800006407,0.027335984095427434,131.592080208502,146.11917098445596,35.0815888510924,145.78065630397236,146.11917098445596,132.0,ours,lifelong,58,0,75,50,492.42126820020076,50.51953820002381,816,30,3319,3fd91b6c8eba2159ed24220220d6925ba8ef88bad16c48540db6c2f3722a91d4,False,239,1,836,736,418.0,0.005573333333333333,836,0,0,0.0,0,0,30.0,0,ok,2000,55.0,84407,congestion_avoidance,0.9897435897435898,0.2895,2000,0.9897435897435898,585,11069,deadlock-fraction,0.05,0,0,0,0,0,0,0,836,0,836,0,836,836,836,736,0,0.07379333333333334,274.8419,10014
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.2985,0,583,0,0,0,0,priority,583,32,0,0,,diagnostic_probe_true_evade,0,4,0,95,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,73,True,0,47.5,astar,3161,False,1966,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",578.0,0,48.93459400000211,0.018968871595330738,123.5403563199966,145.17152658662093,31.78063644214298,143.38250428816465,145.17152658662093,133.0,ours,lifelong,55,0,75,50,478.76932944996037,45.716210000000494,774,30,3256,949cb3a262a2339a7892250fa8d08851f483c934e17449351860a59aaf40cfb5,False,331,1,656,583,328.0,0.004373333333333333,656,1,0,0.0,0,0,30.0,0,ok,2000,39.0,83592,congestion_avoidance,0.9765494137353434,0.2915,2000,0.9765494137353433,597,13483,deadlock-fraction,0.05,0,0,0,0,0,0,0,656,0,656,0,656,656,656,583,0,0.08988666666666667,258.031,12378
