applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,auction_epsilon,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,40,20,2,congestion_avoidance,0,422,,0,0,0,priority,422,7,0,,allocator_comparison_fov4_safe2,4,168,lacam_official,True,40,random_walk,108,0,84.0,0.5,astar,4087,True,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",604.0,13214.057391043752,5,91.96316403284436,166.83649289099526,111.71159414724181,163.33175355450237,154.5,ours,lifelong,0,50,60,336.61013448727317,43.310538528021425,20,4255,427e4136fee6aaa7beeb3f4521e31a670bd62d16bf333ae6117b476eb1f66e5f,592,2,691.5,1383,5,1,0,10.0,0,ok,2000,68926,congestion_avoidance,0.9791183294663574,0.211,2000,431,3583,0,2000,1383,2000,0.03583,191.6949,2991
4,lacam_official,True,40,20,2,congestion_avoidance,0,386,,0,0,0,priority,386,7,0,,allocator_comparison_fov4_safe2,4,147,lacam_official,True,40,random_walk,157,0,73.5,0.5,astar,3373,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",663.0,62.692601000890136,5,92.59869003546191,160.9740932642487,31.141342039277056,157.43264248704662,148.5,ours,lifelong,0,50,60,385.2944640442729,40.49097195966169,20,3520,875366465f6c5c3facc278cd0d3e436351439ff873b0b7928d84535ad6f1be8f,528,2,960.5,1921,0,0,0,10.0,0,ok,2000,60769,congestion_avoidance,0.9772151898734177,0.193,2000,395,5238,0,2000,1921,2000,0.05238,192.7441,4710
4,lacam_official,True,40,20,2,congestion_avoidance,0,399,,0,0,0,priority,399,7,0,,allocator_comparison_fov4_safe2,4,143,lacam_official,True,40,random_walk,161,0,71.5,0.5,astar,3289,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",496.0,14593.596391030587,5,96.07075490721036,152.3659147869674,132.20103606549125,151.48872180451127,143.0,ours,lifelong,0,50,60,411.47723689209664,41.10714247217402,20,3432,09fd4d17ab0a69882968f652438bcc05bd04dc41573c0c7d1665a965dabb4419,348,2,861.5,1723,6,1,0,10.0,0,ok,2000,60444,congestion_avoidance,0.9900744416873449,0.1995,2000,403,3798,0,2000,1723,2000,0.03798,199.6994,3450
4,lacam_official,True,40,20,2,congestion_avoidance,0,391,,0,0,0,priority,391,8,0,,allocator_comparison_fov4_safe2,4,125,lacam_official,True,40,random_walk,191,0,62.5,0.5,astar,2905,True,1970,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",452.0,14502.652117051184,5,120.11661678220844,146.17902813299233,479.7506945030764,145.38618925831202,133.0,ours,lifelong,0,50,60,405.89648334425874,38.37711203377694,20,3030,e98ea90a5b70b9a0c6d13bc1ffa6830328c29aee55edd51db571e3ed4c5e8e6d,397,2,1163.5,2327,1,4,0,10.0,0,ok,2000,56846,congestion_avoidance,0.9923857868020305,0.1955,2000,394,4556,0,2000,2327,2000,0.04556,247.7419,4159
4,lacam_official,True,40,20,2,congestion_avoidance,0,431,,0,0,0,priority,431,4,0,,allocator_comparison_fov4_safe2,4,167,lacam_official,True,40,random_walk,94,0,83.5,0.5,astar,4224,True,1960,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",472.0,13817.770320922136,5,121.10354841983644,159.1925754060325,431.6310816483494,156.169373549884,149.0,ours,lifelong,0,50,60,360.28734107967466,46.578411874361315,20,4391,4368f09ae65864225830d236cf3a0cc70ddfc9974a46bec39052c5c3bb76d304,471,2,619.0,1238,2,5,0,10.0,0,ok,2000,67309,congestion_avoidance,0.9953810623556582,0.2155,2000,433,3092,0,2000,1238,2000,0.03092,249.9495,2621
4,lacam_official,True,40,20,2,congestion_avoidance,0,406,,0,0,0,priority,406,12,0,,allocator_comparison_fov4_safe2,4,124,lacam_official,True,40,random_walk,161,0,62.0,0.5,astar,2993,True,1982,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",563.0,14501.813043956645,5,131.62120374297956,150.9655172413793,719.4232158062439,150.55418719211823,142.0,ours,lifelong,0,50,60,369.02429802576074,51.58174510579547,20,3117,cc7322ccd9f0b2d275f3dfcda62ed165133852173b6b60ef924aa51bff81ef22,385,2,931.0,1862,9,6,0,10.0,0,ok,2000,61125,congestion_avoidance,0.9806763285024155,0.203,2000,414,5011,0,2000,1862,2000,0.05011,270.8945,4626
4,lacam_official,True,40,20,2,congestion_avoidance,0,393,,0,0,0,priority,393,7,0,,allocator_comparison_fov4_safe2,4,142,lacam_official,True,40,random_walk,168,0,71.0,0.5,astar,3823,True,1988,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",662.0,14070.794536964968,5,152.12682519148802,162.79898218829516,962.7570714924524,162.5623409669211,148.0,ours,lifelong,0,50,60,369.090434256941,12856.278159841893,20,3965,3486d4d889336e0d1a9e3a769427d04186becd5b7b4084e6f951a58c9700e3e1,470,2,1008.0,2016,3,10,0,10.0,0,ok,2000,63887,congestion_avoidance,0.9825,0.1965,2000,400,5593,0,2000,2016,2000,0.05593,311.8404,5123
4,lacam_official,True,40,20,2,congestion_avoidance,0,408,,0,0,0,priority,408,7,0,,allocator_comparison_fov4_safe2,4,143,lacam_official,True,40,random_walk,135,0,71.5,0.5,astar,3796,True,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",621.0,15144.80544696562,5,173.53670901228907,154.3357843137255,1191.2001007215374,153.87745098039215,145.0,ours,lifelong,0,50,60,394.0125248860568,13559.471028437838,20,3939,e3fc6d33220d52a024c7e38c40e40cd12a9920866be732cfe7385003e2911429,411,2,774.0,1548,7,10,0,10.0,2,ok,2000,62782,congestion_avoidance,0.9878934624697336,0.204,2000,413,3610,0,2000,1548,2000,0.0361,354.7122,3199
4,lacam_official,True,40,20,2,congestion_avoidance,0,402,,0,0,0,priority,402,5,0,,allocator_comparison_fov4_safe2,4,157,lacam_official,True,40,random_walk,138,0,78.5,0.5,astar,4407,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",458.0,15021.264469018206,5,175.74220529285958,155.78358208955223,1121.778619233934,155.0174129353234,142.5,ours,lifelong,0,50,60,398.48381027113646,14011.763636767862,20,4564,def1d855733312d45219aba57a1bd5659dee8ab40cbf79261bcf0a2d3465c2a2,585,2,799.5,1599,8,11,0,10.0,1,ok,2000,62317,congestion_avoidance,0.9828850855745721,0.201,2000,409,3838,0,2000,1599,2000,0.03838,359.14,3253
4,lacam_official,True,40,20,2,congestion_avoidance,0,398,,0,0,0,priority,398,5,0,,allocator_comparison_fov4_safe2,4,133,lacam_official,True,40,random_walk,141,0,66.5,0.5,astar,3822,True,1985,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",517.0,14729.506845003925,5,194.61345953389537,159.0075376884422,1586.0710965243652,158.70854271356785,148.0,ours,lifelong,0,50,60,387.69844565540546,13732.075090426952,20,3955,9e056cf3bceb23e98938bafe0754fb0b4c077d7c4d7e9dadfa2e423d899f4030,534,2,751.0,1502,4,15,0,10.0,0,ok,2000,63166,congestion_avoidance,0.9875930521091811,0.199,2000,403,3040,0,2000,1502,2000,0.0304,396.7866,2506
