applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,10,5,1,congestion_avoidance,0,377,0,0,0,priority,377,0,0,,horizon_replan_full_tuning,4,414,lacam_official,True,10,random_walk,71,0,207.0,astar,3677,False,1952,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",235.0,15165.754535002634,38.093165373720694,68.24403183023873,116.14453788100998,67.47214854111405,64.0,ours,lifelong,0,25,50,59.41222004476002,8.007067191647366,5,4091,7e481b220356bc5472d99d0f62192eafafcd57c460254f3abebdb6a2cf8e78ea,244,1,459.0,918,7,0,0,10.0,3,ok,2000,25437,congestion_avoidance,1.0,0.1885,2000,377,755,0,0,918,0,0.0151,76.4769,511
4,lacam_official,True,10,5,1,congestion_avoidance,0,383,0,0,0,priority,383,0,0,,horizon_replan_full_tuning,4,406,lacam_official,True,10,random_walk,80,0,203.0,astar,3424,False,1945,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",182.0,15149.721803027205,51.86332292994484,68.177545691906,192.56847424850125,67.91644908616188,65.0,ours,lifelong,0,25,50,55.540447938255944,8.198379568057135,5,3830,75386ffb0e63f286cf61d63cdff0f85ead07b8b467d162dcb81c40e59e6d2a4f,245,1,402.0,804,5,0,0,10.0,5,ok,2000,26012,congestion_avoidance,1.0,0.1915,2000,383,812,0,0,804,0,0.01624,104.0479,567
4,lacam_official,True,10,5,1,congestion_avoidance,0,387,0,0,0,priority,387,0,0,,horizon_replan_full_tuning,4,410,lacam_official,True,10,random_walk,69,0,205.0,astar,3759,False,1877,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",188.0,15188.828151091002,53.07875452254666,68.34366925064599,190.64835392523602,67.95607235142118,65.0,ours,lifelong,0,25,50,56.5871080965735,8.347828622208908,5,4169,3eeb4e0d66a1dabaaac1c750e9377830dc5d63d07180308ffa7fe7a6c795d43f,289,1,486.5,973,9,0,0,10.0,5,ok,2000,26299,congestion_avoidance,1.0,0.1935,2000,387,709,0,0,973,0,0.01418,106.3655,420
4,lacam_official,True,10,5,1,congestion_avoidance,0,361,0,0,0,priority,361,1,0,,horizon_replan_full_tuning,4,410,lacam_official,True,10,random_walk,77,0,205.0,astar,3245,False,1878,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",344.0,15207.135356031358,81.87920293305069,69.63157894736842,338.6690386633457,68.98614958448753,66.0,ours,lifelong,0,25,50,58.036625920794904,7.961620716378088,5,3655,545947ad525e19d8bb05aa643d8ffc3f7f64e2b090f5d4a12eae394f2d07f132,231,1,487.5,975,0,0,0,10.0,9,ok,2000,24904,congestion_avoidance,1.0,0.1805,2000,361,953,0,0,975,0,0.01906,163.9505,722
4,lacam_official,True,10,5,1,congestion_avoidance,0,382,0,0,0,priority,382,2,0,,horizon_replan_full_tuning,4,419,lacam_official,True,10,random_walk,49,0,209.5,astar,3990,False,1980,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",204.0,15158.449912909418,113.30754729639739,73.1544502617801,474.3327004476595,72.54712041884817,70.0,ours,lifelong,0,25,50,57.78559148311615,8.397985761985181,5,4409,731d2b35554eb7ef80f238868083d8327eebd440d0b02e21d8948b6ae6a100a3,336,1,376.0,752,4,2,0,10.0,11,ok,2000,27713,congestion_avoidance,0.9973890339425587,0.191,2000,383,985,0,0,752,0,0.0197,226.9954,649
4,lacam_official,True,10,5,1,congestion_avoidance,0,389,0,0,0,priority,389,0,0,,horizon_replan_full_tuning,4,409,lacam_official,True,10,random_walk,88,0,204.5,astar,3591,False,1860,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",231.0,15219.187980983406,121.01782568992348,67.31362467866325,524.7803095786225,66.79434447300771,64.0,ours,lifelong,0,25,50,58.0748484644573,8.24631021823734,5,4000,4a44a2710ec8310a246623ec8536551d29abdcb3e397b5c6e2330efacb9aaeb0,267,1,467.0,934,8,0,0,10.0,14,ok,2000,25983,congestion_avoidance,1.0,0.1945,2000,389,679,0,0,934,0,0.01358,242.4303,412
4,lacam_official,True,10,5,1,congestion_avoidance,0,364,0,0,0,priority,364,0,0,,horizon_replan_full_tuning,4,415,lacam_official,True,10,random_walk,76,0,207.5,astar,3670,False,1967,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",260.0,15195.954793016426,143.6129521878902,68.56318681318682,626.4830713738205,68.38186813186813,66.0,ours,lifelong,0,25,50,57.730399991851286,8.753573417197892,5,4085,f63d188ffd62c1b4e664ff4b5f66b858354a9880b8ae801d1a78ed7998d56119,266,1,441.0,882,1,0,0,10.0,17,ok,2000,24891,congestion_avoidance,1.0,0.182,2000,364,752,0,0,882,0,0.01504,287.4317,486
4,lacam_official,True,10,5,1,congestion_avoidance,0,382,0,0,0,priority,382,1,0,,horizon_replan_full_tuning,4,412,lacam_official,True,10,random_walk,66,0,206.0,astar,3635,False,1882,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",204.0,15182.803779025562,151.05347191437613,69.89528795811518,666.0043511828476,69.39005235602095,66.5,ours,lifelong,0,25,50,60.42439166922122,9.666275919880716,5,4047,c723c77f10cb4df788610b047918dc539563eabef547fb3c16d52c37f6a6da1b,294,1,435.0,870,6,1,0,10.0,17,ok,2000,26507,congestion_avoidance,1.0,0.191,2000,382,805,0,0,870,0,0.0161,302.4773,511
4,lacam_official,True,10,5,1,congestion_avoidance,0,384,0,0,0,priority,384,1,0,,horizon_replan_full_tuning,4,418,lacam_official,True,10,random_walk,73,0,209.0,astar,3851,False,1861,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",194.0,15183.397607994266,158.33068408299005,69.56510416666667,692.7882565411575,68.83333333333333,68.0,ours,lifelong,0,25,50,59.518591762753175,8.763463620562103,5,4269,a5ecc1f4623313a48133f6141fbadd79583cdd3d82cf00ddb8fa766f1f4965aa,276,1,401.0,802,3,2,0,10.0,17,ok,2000,26432,congestion_avoidance,1.0,0.192,2000,384,764,0,0,802,0,0.01528,316.9511,488
4,lacam_official,True,10,5,1,congestion_avoidance,0,736,0,0,0,priority,736,3,0,,horizon_replan_full_tuning,4,401,lacam_official,True,10,random_walk,170,0,200.5,astar,6789,False,1962,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",240.0,15142.943236976862,199.91456572921015,65.59103260869566,828.0239588203038,65.43614130434783,60.0,ours,lifelong,0,50,50,123.63310870132409,14065.588745987043,5,7190,0f6b3b70d205701d61fdc209e30a3e5f2bf9a177258ba0bce415b27818e33bec,795,1,950.0,1900,3,5,0,10.0,17,ok,2000,48161,congestion_avoidance,0.9986431478968792,0.368,2000,737,2963,0,0,1900,0,0.02963,400.3324,2168
