applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
3,lacam_official,True,40,20,1,congestion_avoidance,0,188,0,0,0,priority,188,0,0,,scaling_agents_fov3_safe1,3,162,lacam_official,True,40,random_walk,53,0,81.0,0.5,astar,1767,True,1984,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",475.0,17.198944929987192,5,19.830886227893643,162.9627659574468,11.911202364394235,162.73936170212767,153.0,ours,lifelong,0,25,100,77.35423580743371,15.316165809053924,20,1929,b5a7136c8fa2c39c71cab160f96142af5bf5b8f18a605e817901a11acbfacd1f,104,1,218.0,436,8,0,0,10.0,0,ok,2000,30595,congestion_avoidance,0.9894736842105263,0.094,2000,190,880,0,2000,436,2000,0.0176,42.2293,776
3,lacam_official,True,40,20,1,congestion_avoidance,0,186,0,0,0,priority,186,3,0,,scaling_agents_fov3_safe1,3,155,lacam_official,True,40,random_walk,51,0,77.5,0.5,astar,1695,True,1945,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",519.0,19.95525904931128,5,21.35034718515817,162.91935483870967,12.370901069633904,161.1236559139785,146.0,ours,lifelong,0,25,100,85.70072149159385,15.862647490575908,20,1850,4a00b0ac86f3dbfefd0415617c84ed2310bed05846f0a73cedfde967172522bc,131,1,232.5,465,1,0,0,10.0,0,ok,2000,29969,congestion_avoidance,0.9893617021276596,0.093,2000,188,1501,0,2000,465,2000,0.03002,45.2349,1370
3,lacam_official,True,40,20,1,congestion_avoidance,0,214,0,0,0,priority,214,1,0,,scaling_agents_fov3_safe1,3,207,lacam_official,True,40,random_walk,38,0,103.5,0.5,astar,2471,True,1984,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",513.0,24.08969192765653,5,21.3566193691222,186.2803738317757,13.549130618041337,181.42056074766356,189.0,ours,lifelong,0,25,100,60.22452679462728,17.300707777030766,20,2678,e1208a501ea49e43c5ab9312961d40b778912d6255236d22a54ef07ef38aa1d1,130,1,193.0,386,2,0,0,10.0,0,ok,2000,38824,congestion_avoidance,0.9861751152073732,0.107,2000,217,695,0,2000,386,2000,0.0139,45.2187,565
3,lacam_official,True,40,20,1,congestion_avoidance,0,202,0,0,0,priority,202,0,0,,scaling_agents_fov3_safe1,3,183,lacam_official,True,40,random_walk,70,0,91.5,0.5,astar,2230,True,1974,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",498.0,18.11011601239443,5,21.474445416009985,164.93564356435644,12.450576672086218,160.06930693069307,160.0,ours,lifelong,0,25,100,72.8880985523574,16.359505336731672,20,2413,4266496e8e1e078910d0684a58d2601aff0b2d91de8e9975372048ff11ad272c,130,1,224.5,449,9,0,0,10.0,0,ok,2000,32334,congestion_avoidance,0.9711538461538461,0.101,2000,208,551,0,2000,449,2000,0.01102,45.402,421
3,lacam_official,True,40,20,1,congestion_avoidance,0,196,0,0,0,priority,196,3,0,,scaling_agents_fov3_safe1,3,192,lacam_official,True,40,random_walk,57,0,96.0,0.5,astar,2326,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",510.0,15142.685663886368,5,28.998235159670003,173.35714285714286,91.03179007433937,170.28571428571428,160.0,ours,lifelong,0,25,100,71.68330909917128,15.749885037075728,20,2518,46fe07bf39e236877527bb99c5aa5c32731736837f123822193c053a700042d0,259,1,267.5,535,4,0,0,10.0,1,ok,2000,33376,congestion_avoidance,0.98,0.098,2000,200,940,0,2000,535,2000,0.0188,60.2349,681
3,lacam_official,True,40,20,1,congestion_avoidance,0,187,0,0,0,priority,187,3,0,,scaling_agents_fov3_safe1,3,184,lacam_official,True,40,random_walk,59,0,92.0,0.5,astar,2247,True,1942,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",530.0,15120.479763951153,5,34.069962985347956,175.70053475935828,176.5213706581246,171.0855614973262,166.0,ours,lifelong,0,25,100,66.08680955832821,17.829821328632534,20,2431,33d7725c16a886d1606efa819b1debf8437f5c0cc23fb2ce56eca873105bb029,169,1,285.0,570,3,0,0,10.0,2,ok,2000,31993,congestion_avoidance,0.9689119170984456,0.0935,2000,193,1074,0,2000,570,2000,0.02148,70.4057,905
3,lacam_official,True,40,20,1,congestion_avoidance,0,184,0,0,0,priority,184,2,0,,scaling_agents_fov3_safe1,3,157,lacam_official,True,40,random_walk,32,0,78.5,0.5,astar,1856,True,1968,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",458.0,15137.109400006011,5,34.83431906613987,162.57608695652175,204.7681925153941,161.10326086956522,159.5,ours,lifelong,0,25,100,80.72961433790623,16.826798487454653,20,2013,0d7676c011710378df7c3fedb138d746c21494afbeea5f3cd315474aa30422a0,67,1,188.0,376,0,0,0,10.0,2,ok,2000,29643,congestion_avoidance,0.983957219251337,0.092,2000,187,878,0,2000,376,2000,0.01756,71.918,811
3,lacam_official,True,40,20,1,congestion_avoidance,0,202,0,0,0,priority,202,1,0,,scaling_agents_fov3_safe1,3,199,lacam_official,True,40,random_walk,40,0,99.5,0.5,astar,2337,True,1978,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",627.0,15174.621514044702,5,36.31427003303543,185.56930693069307,165.50237258858792,180.02475247524754,176.0,ours,lifelong,0,25,100,68.53217172902077,17.371231969445944,20,2536,20f312209fed3181c75740c4eab8ba551f8f3c0654950306a332070ea102c258,107,1,155.5,311,5,0,0,10.0,2,ok,2000,36365,congestion_avoidance,1.0,0.101,2000,202,650,0,2000,311,2000,0.013,75.0984,543
3,lacam_official,True,40,20,1,congestion_avoidance,0,388,0,0,0,priority,388,5,0,,scaling_agents_fov3_safe1,3,153,lacam_official,True,40,random_walk,152,0,76.5,0.5,astar,3634,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",522.0,36.80566605180502,5,48.40063185116742,159.12113402061857,17.275828747930966,156.73711340206185,149.0,ours,lifelong,0,50,100,196.32772614713758,23.573556635528806,20,3787,6c2a0e4ea5ddb14311c61c9ce715ba7232ca296701e9fe285c0643d555d0de7b,288,1,548.5,1097,0,0,0,10.0,0,ok,2000,60814,congestion_avoidance,0.9923273657289002,0.194,2000,391,3078,0,2000,1097,2000,0.03078,101.6801,2790
3,lacam_official,True,40,20,1,congestion_avoidance,0,198,0,0,0,priority,198,2,0,,scaling_agents_fov3_safe1,3,185,lacam_official,True,40,random_walk,53,0,92.5,0.5,astar,2211,True,1969,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",537.0,15146.566230105236,5,51.8068256303668,178.96969696969697,340.30603579547557,172.59595959595958,165.5,ours,lifelong,0,25,100,61.0014515579678,16.9117237906903,20,2396,da560da91dcdc33335323fe01760d8f6f3c6e7a4b30ec885de683f14337d3f7d,107,1,200.5,401,6,0,0,10.0,4,ok,2000,34174,congestion_avoidance,0.9850746268656716,0.099,2000,201,776,0,2000,401,2000,0.01552,106.2055,669
3,lacam_official,True,40,20,1,congestion_avoidance,0,403,0,0,0,priority,403,1,0,,scaling_agents_fov3_safe1,3,150,lacam_official,True,40,random_walk,155,0,75.0,0.5,astar,3442,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",503.0,15170.650052139536,5,51.74563209828921,151.09925558312656,117.32523219349484,149.83622828784118,142.0,ours,lifelong,0,50,100,185.11815182864666,21.190189372282475,20,3592,b46e01e1b45191535478863d4103b006a31462ab49ba672c6ded03dfa18e18e4,215,1,617.0,1234,6,0,0,10.0,1,ok,2000,60384,congestion_avoidance,0.9901719901719902,0.2015,2000,407,2601,0,2000,1234,2000,0.02601,107.8717,2386
