applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
3,lacam_official,True,40,20,1,congestion_avoidance,0,1618,0,0,0,priority,1618,33,0,,scaling_humans_fov3_safe1,3,100,lacam_official,True,40,random_walk,146,0,50.0,0.5,astar,10634,True,1994,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",605.0,14197.900053928606,5,1019.0939815375605,146.41470951792337,4577.7458107157145,145.74042027194068,133.0,ours,lifelong,0,200,25,1844.5850213756783,11629.737531678984,20,10734,2e7460b6ddbab894697e9dcf423ac88c2cf6d1f515440f35317379e0640e65b3,1197,1,579.5,1159,7,40,0,10.0,0,ok,2000,235808,congestion_avoidance,0.9944683466502766,0.809,2000,1627,45783,0,2000,1159,2000,0.1144575,2069.352,44586
3,lacam_official,True,40,20,1,congestion_avoidance,0,1548,0,0,0,priority,1548,33,0,,scaling_humans_fov3_safe1,3,101,lacam_official,True,40,random_walk,194,0,50.5,0.5,astar,12328,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",545.0,11612.720108008943,5,1055.5970109670889,151.4360465116279,5397.192665539442,150.81653746770027,135.0,ours,lifelong,0,200,25,1855.9817820379976,11412.916140980087,20,12429,cb27d53c44c2192e221822c48e572944f13a30be2d1cfe0105e0ea7d9269e1d1,1634,1,659.5,1319,5,49,0,10.0,0,ok,2000,233464,congestion_avoidance,0.9597024178549287,0.774,2000,1613,56310,0,2000,1319,2000,0.140775,2142.3982,54676
3,lacam_official,True,40,20,1,congestion_avoidance,0,1597,0,0,0,priority,1597,34,0,,scaling_humans_fov3_safe1,3,102,lacam_official,True,40,random_walk,262,0,51.0,0.5,astar,13902,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",516.0,11512.155550997704,5,1055.857523745275,154.78647463994992,5051.555432820939,153.22730118973075,141.0,ours,lifelong,0,200,50,1774.4397346745245,11390.899369225372,20,14004,12742792b8681bf30e36f7482598dee77c572602ff53fde98a10698d65beffd5,2059,1,1078.5,2157,0,46,0,10.0,0,ok,2000,244704,congestion_avoidance,0.974969474969475,0.7985,2000,1638,49825,0,2000,2157,2000,0.1245625,2143.3518,47766
3,lacam_official,True,40,20,1,congestion_avoidance,0,1579,0,0,0,priority,1579,35,0,,scaling_humans_fov3_safe1,3,102,lacam_official,True,40,random_walk,298,0,51.0,0.5,astar,13629,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",656.0,11544.237690977752,5,1112.4681343580014,149.80240658644712,5498.98890974274,149.29449018366054,133.0,ours,lifelong,0,200,50,1901.8562010198366,11485.04898667452,20,13731,40d50aacec22675767f3eab76dbb99c14cf86da17db7c90af418a7644edf951a,2015,1,1157.0,2314,1,50,0,10.0,0,ok,2000,235736,congestion_avoidance,0.9813548788067122,0.7895,2000,1609,45393,0,2000,2314,2000,0.1134825,2256.4427,43378
3,lacam_official,True,40,20,1,congestion_avoidance,0,1583,0,0,0,priority,1583,23,0,,scaling_humans_fov3_safe1,3,106,lacam_official,True,40,random_walk,232,0,53.0,0.5,astar,17118,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",711.0,11604.983430937864,5,1115.6548005423392,160.4699936828806,6617.4920044701,160.0385344283007,148.0,ours,lifelong,0,200,50,1931.1508231854532,11460.76156021445,20,17224,5d0dd0180bfee6d908fd3f46b26f825ba99c282caacb70b74e9e73a00503cf0d,2430,1,989.0,1978,5,63,0,10.0,0,ok,2000,253341,congestion_avoidance,0.9795792079207921,0.7915,2000,1616,45474,0,2000,1978,2000,0.113685,2262.8116,43044
3,lacam_official,True,40,20,1,congestion_avoidance,0,1570,0,0,0,priority,1570,71,0,,scaling_humans_fov3_safe1,3,101,lacam_official,True,40,random_walk,149,0,50.5,0.5,astar,12190,True,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",540.0,11668.579265009612,5,1135.320813120983,145.2108280254777,5907.264971170842,144.35031847133757,132.0,ours,lifelong,0,200,25,1995.8947568258736,11551.930126035586,20,12291,2eea0567e722e79dd0ab5f2b4d9d9e4c62d34d791923b0527cef4210d2cdc857,2919,1,615.5,1231,3,53,0,10.0,0,ok,2000,226630,congestion_avoidance,0.9602446483180428,0.785,2000,1635,57021,0,2000,1231,2000,0.1425525,2302.0356,54102
3,lacam_official,True,40,20,1,congestion_avoidance,0,1616,0,0,0,priority,1616,33,0,,scaling_humans_fov3_safe1,3,100,lacam_official,True,40,random_walk,125,0,50.0,0.5,astar,12255,True,1988,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",794.0,11784.834329038858,5,1144.618144915381,144.25247524752476,6063.370394533267,143.99133663366337,129.5,ours,lifelong,0,200,25,1957.547966594575,11449.418145557866,20,12355,d8e4bc71f7033a117e06c14897de37029d641aee33255ad7f877689ca92733d9,2387,1,545.0,1090,6,54,0,10.0,0,ok,2000,232690,congestion_avoidance,0.9782082324455206,0.808,2000,1652,47851,0,2000,1090,2000,0.1196275,2320.4532,45464
3,lacam_official,True,40,20,1,congestion_avoidance,0,1595,0,0,0,priority,1595,18,0,,scaling_humans_fov3_safe1,3,100,lacam_official,True,40,random_walk,228,0,50.0,0.5,astar,17857,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",599.0,11851.649705902673,5,1173.4448077621637,159.73228840125392,8112.485423655016,158.8884012539185,150.0,ours,lifelong,0,200,50,1876.5745153068565,11440.120777086122,20,17957,9f2fb70d7fbc14f225d35599f2f693a3ab3f3f6c7bff7a2dc1cc3e8457342b28,1928,1,913.0,1826,2,73,0,10.0,0,ok,2000,253427,congestion_avoidance,0.9803318992009834,0.7975,2000,1627,47901,0,2000,1826,2000,0.1197525,2378.5542,45973
3,lacam_official,True,40,20,1,congestion_avoidance,0,1516,0,0,0,priority,1516,58,0,,scaling_humans_fov3_safe1,3,100,lacam_official,True,40,random_walk,136,0,50.0,0.5,astar,12198,True,1971,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",576.0,11779.306019074284,5,1193.5633457541117,144.5593667546174,6644.282726722304,143.52242744063324,133.0,ours,lifelong,0,200,25,2020.3746537503318,11515.010024345247,20,12298,44ada2cd39d3ebcbfe20f6a8389eb9f978274b2f939db0709d81972524099649,2438,1,553.0,1106,8,59,0,10.0,0,ok,2000,217580,congestion_avoidance,0.9755469755469756,0.758,2000,1554,48385,0,2000,1106,2000,0.1209625,2418.0519,45947
3,lacam_official,True,40,20,1,congestion_avoidance,0,1594,0,0,0,priority,1594,34,0,,scaling_humans_fov3_safe1,3,101,lacam_official,True,40,random_walk,199,0,50.5,0.5,astar,11348,True,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",525.0,12192.095902981237,5,1225.96949602128,138.771643663739,5955.359190390076,137.89335006273527,126.0,ours,lifelong,0,200,25,2053.0639181495644,11597.305589937605,20,11449,275556526513fc22f719a3807856052cb70cbb0241028ef7c63b78c34f2d40bd,3416,1,793.5,1587,2,53,0,10.0,0,ok,2000,219802,congestion_avoidance,0.9797172710510141,0.797,2000,1627,43390,0,2000,1587,2000,0.108475,2483.1839,39974
3,lacam_official,True,40,20,1,congestion_avoidance,0,1533,0,0,0,priority,1533,46,0,,scaling_humans_fov3_safe1,3,105,lacam_official,True,40,random_walk,151,0,52.5,0.5,astar,12834,True,1972,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",644.0,11730.003442033194,5,1233.8681779398466,143.87214611872147,6712.858079805128,143.43639921722112,128.0,ours,lifelong,0,200,25,2113.001340231858,11586.031975410879,20,12939,944e2d3dbc19227fadfd33fa1af2ae584ab9af6bd0cd14eb6b69d36957a33e1a,3530,1,688.0,1376,9,62,0,10.0,0,ok,2000,219888,congestion_avoidance,0.967192429022082,0.7665,2000,1585,43848,0,2000,1376,2000,0.10962,2498.9204,40318
3,lacam_official,True,40,20,1,congestion_avoidance,0,1567,0,0,0,priority,1567,38,0,,scaling_humans_fov3_safe1,3,103,lacam_official,True,40,random_walk,235,0,51.5,0.5,astar,12300,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",529.0,11852.692125947215,5,1249.1416560481302,139.97192086790045,6826.270623748571,139.25973197192087,131.0,ours,lifelong,0,200,25,2119.185031572124,11681.313613173552,20,12403,e3e4b03ea9d3ff133a4e1bdf383bfe3b5a4e5f2c76f01bad243df3f7ed910420,2571,1,919.5,1839,1,62,0,10.0,0,ok,2000,218220,congestion_avoidance,0.9720843672456576,0.7835,2000,1612,42652,0,2000,1839,2000,0.10663,2529.4349,40081
3,lacam_official,True,40,20,1,congestion_avoidance,0,1605,0,0,0,priority,1605,41,0,,scaling_humans_fov3_safe1,3,101,lacam_official,True,40,random_walk,148,0,50.5,0.5,astar,12545,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",635.0,11750.223182025366,5,1252.1216823338182,136.61370716510905,7083.424678756994,135.8018691588785,124.0,ours,lifelong,0,200,25,2026.310536934761,11622.063594986685,20,12646,7ec750c9e87547d6536e6706f77a0e2ecdad6d205b798b82447b3d64f7f58c9a,2430,1,694.5,1389,0,63,0,10.0,0,ok,2000,217962,congestion_avoidance,0.9780621572212066,0.8025,2000,1641,39043,0,2000,1389,2000,0.0976075,2535.6999,36613
3,lacam_official,True,40,20,1,congestion_avoidance,0,1638,0,0,0,priority,1638,22,0,,scaling_humans_fov3_safe1,3,100,lacam_official,True,40,random_walk,294,0,50.0,0.5,astar,19951,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",803.0,11556.964608025737,5,1271.256564115407,161.34859584859583,9083.666109475307,159.6092796092796,149.5,ours,lifelong,0,200,50,1912.6906961144414,11384.756179369288,20,20051,105b5f5e23aec83a2e20aa3a0fac3f21274fd7e4eba7dd64a826a068b89110c4,4708,1,1209.5,2419,4,82,0,10.0,0,ok,2000,261440,congestion_avoidance,0.9867469879518073,0.819,2000,1660,46746,0,2000,2419,2000,0.116865,2574.3548,42038
3,lacam_official,True,40,20,1,congestion_avoidance,0,1606,0,0,0,priority,1606,28,0,,scaling_humans_fov3_safe1,3,101,lacam_official,True,40,random_walk,313,0,50.5,0.5,astar,18522,True,1974,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1117.0,11683.128775912337,5,1334.7783872312866,154.43337484433374,8843.179896156913,152.75093399750935,141.0,ours,lifelong,0,200,50,2129.7582350205626,11583.831920986995,20,18623,4c686e9e284fb8542ab222277a56a1aa56bfca78cf9b768caad499b7ceeb3fe8,6400,1,1267.5,2535,3,80,0,10.0,0,ok,2000,245318,congestion_avoidance,0.9786715417428398,0.803,2000,1641,45514,0,2000,2535,2000,0.113785,2701.2262,39114
3,lacam_official,True,40,20,1,congestion_avoidance,0,1653,0,0,0,priority,1653,9,0,,scaling_humans_fov3_safe1,3,100,lacam_official,True,40,random_walk,94,0,50.0,0.5,astar,15846,True,1994,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",506.0,15148.435469949618,5,1377.809789906838,146.31820931639444,9650.825643828139,145.0550514216576,136.0,ours,lifelong,0,200,25,2047.9499410372223,13129.440646467263,20,15946,dd56b3b6953efd26b1dfd552e26161585811591c9061c445ff0f5fadc1ea322b,5249,1,470.5,941,4,81,0,10.0,3,ok,2000,239776,congestion_avoidance,0.9945848375451264,0.8265,2000,1662,40711,0,2000,941,2000,0.1017775,2787.1151,35462
3,lacam_official,True,40,20,1,congestion_avoidance,0,1607,0,0,0,priority,1607,34,0,,scaling_humans_fov3_safe1,3,105,lacam_official,True,40,random_walk,261,0,52.5,0.5,astar,14343,True,1985,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",613.0,11514.64368996676,5,1127.4247738279519,143.6141879278158,5337.094020080708,143.23771001866834,129.0,ours,lifelong,0,200,50,1888.881860760739,11433.289557113312,20,14448,49f9d95902043acb99564e667d73702e663b0c8af39fb81177b804784eba28ba,1784,1,1152.5,2305,6,50,0,10.0,0,ok,2000,230183,congestion_avoidance,0.9721718088324259,0.8035,2000,1653,43679,0,2000,2305,2000,0.1091975,2286.3057,41895
3,lacam_official,True,40,20,1,congestion_avoidance,0,1569,0,0,0,priority,1569,19,0,,scaling_humans_fov3_safe1,3,107,lacam_official,True,40,random_walk,226,0,53.5,0.5,astar,17086,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",616.0,15152.209292980842,5,1100.4502474623732,171.64754620777566,6719.161748734878,170.49012109623965,159.0,ours,lifelong,0,200,50,1824.1196332382967,12569.627514888993,20,17193,22adce60fb7e128abc35b5aab4e79bd09b30fd10bee78d97bfa5a1249fb5cdc3,3555,1,949.0,1898,9,61,0,10.0,2,ok,2000,267499,congestion_avoidance,0.9930379746835443,0.7845,2000,1580,52319,0,2000,1898,2000,0.1307975,2232.2249,48764
3,lacam_official,True,40,20,1,congestion_avoidance,0,1587,0,0,0,priority,1587,14,0,,scaling_humans_fov3_safe1,3,110,lacam_official,True,40,random_walk,387,0,55.0,0.5,astar,19960,True,1989,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",689.0,11494.067456107587,5,1112.0449437787756,169.39697542533082,6459.411844667259,166.17139256458728,158.0,ours,lifelong,0,200,75,1697.7303573745303,11352.74202322471,20,20070,ebe5f143a571e74da0bbd9432c7e00f0d4599839dc1e48f60d9ddcb61174add6,2660,1,1747.5,3495,1,64,0,10.0,0,ok,2000,263714,congestion_avoidance,0.9760147601476015,0.7935,2000,1626,45633,0,2000,3495,2000,0.1140825,2255.5715,42973
3,lacam_official,True,40,20,1,congestion_avoidance,0,1601,0,0,0,priority,1601,25,0,,scaling_humans_fov3_safe1,3,113,lacam_official,True,40,random_walk,366,0,56.5,0.5,astar,20762,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",634.0,11479.40448508598,5,1098.3108315854915,166.27232979387884,6366.5100241448745,165.44846970643349,154.0,ours,lifelong,0,200,75,1734.0784973232076,11344.1015771823,20,20875,e56894306fb7ec68bd3aaa8f8efe52e919af5eee9ef188358545a33d5c9801dd,2580,1,1694.5,3389,3,65,0,10.0,0,ok,2000,264883,congestion_avoidance,0.975624619134674,0.8005,2000,1641,46893,0,2000,3389,2000,0.1172325,2228.1566,44313
3,lacam_official,True,40,20,1,congestion_avoidance,0,1526,0,0,0,priority,1526,30,0,,scaling_humans_fov3_safe1,3,101,lacam_official,True,40,random_walk,345,0,50.5,0.5,astar,15996,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",580.0,12330.162727972493,5,1218.52195663366,152.25032765399737,7597.601522582048,151.56618610747051,137.0,ours,lifelong,0,200,50,2174.662604945479,11632.737673004158,20,16097,993fd7cea3f08c01a60261b9e0a5d8b1e97c38a921a8684bffc50c78cc99e12e,2882,1,1371.0,2742,8,68,0,10.0,0,ok,2000,231290,congestion_avoidance,0.9826142949130715,0.763,2000,1553,43100,0,2000,2742,2000,0.10775,2468.405,40218
3,lacam_official,True,40,20,1,congestion_avoidance,0,1613,0,0,0,priority,1613,15,0,,scaling_humans_fov3_safe1,3,108,lacam_official,True,40,random_walk,449,0,54.0,0.5,astar,20893,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",597.0,11727.23478905391,5,1194.4582936927327,160.91072535647862,7608.847072856776,160.45381277123371,144.0,ours,lifelong,0,200,75,1779.6396171848755,11397.480735497084,20,21001,57d81833510fea0292a3f505e937efad7f664c0e4a1dd6866ca7ce137b1616d6,2623,1,1857.5,3715,0,74,0,10.0,0,ok,2000,258812,congestion_avoidance,0.9877526025719534,0.8065,2000,1633,40073,0,2000,3715,2000,0.1001825,2420.3482,37450
