task_allocator,num_agents,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,safe_wait_mean,wall_s_mean,sum_overlap_mean,n_rounds_mean,overlap_per_round_mean
auction,50,0.1994,0.00643,0.00398,0,299.3,191.3,203.39659,31.1,24.2,1.47332
auction,100,0.3907,0.01001,0.0062,0,661.2,575.2,570.57151,86.7,97.0,0.89194
auction,150,0.5884,0.01558,0.00966,0,1091.6,1300.8,970.84424,131.8,194.6,0.67467
auction,200,0.78445,0.01587,0.00984,0,1451.3,2216.3,1288.03897,227.8,255.4,0.90836
congestion_avoidance,50,0.2023,0.00665,0.00412,0,656.8,177.0,196.8946,36.7,27.3,1.52254
congestion_avoidance,100,0.3958,0.00923,0.00572,0,1384.7,598.4,581.83487,91.9,98.8,0.93153
congestion_avoidance,150,0.59645,0.01481,0.00918,0,1989.9,1308.6,1060.5874,152.6,196.6,0.78657
congestion_avoidance,200,0.79825,0.01566,0.0097,0,2553.6,2642.2,1590.35742,183.7,305.0,0.60591
greedy,50,0.2019,0.00671,0.00416,0,594.8,143.4,162.92061,136.3,25.5,6.12553
greedy,100,0.3955,0.00859,0.00532,0,1137.0,514.0,418.44191,345.7,89.2,3.95643
greedy,150,0.58105,0.01821,0.01128,0,1356.5,1074.5,898.81549,621.9,112.9,340.34846
greedy,200,0.69215,0.04382,0.02716,0,1073.3,1635.1,1332.00042,762.8,28.4,673.91423
hungarian,50,0.20225,0.00711,0.00441,0,646.9,160.5,133.94096,88.3,27.4,3.60581
hungarian,100,0.3968,0.00824,0.00511,0,1345.7,781.8,420.5925,186.8,98.4,1.91212
hungarian,150,0.5968,0.01585,0.00983,0,1923.4,1333.4,696.0963,307.3,197.6,1.55677
hungarian,200,0.79685,0.01582,0.00981,0,2574.8,3148.4,1086.02678,361.9,306.1,1.20013
