task_allocator,num_agents,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,wall_s_mean
auction,50,0.1994,0.0064,0.004,0,299.3,398.8,191.3,199.8629
auction,100,0.3907,0.01,0.0062,0,661.2,781.4,575.2,567.3411
auction,150,0.5884,0.0156,0.0097,0,1091.6,1176.8,1300.8,966.5528
auction,200,0.7844,0.0159,0.0098,0,1451.3,1568.9,2216.3,1285.4455
congestion_avoidance,50,0.2023,0.0067,0.0041,0,656.8,404.6,177.0,186.6691
congestion_avoidance,100,0.3958,0.0092,0.0057,0,1384.7,791.6,598.4,548.2751
congestion_avoidance,150,0.5964,0.0148,0.0092,0,1989.9,1192.9,1308.6,1051.2576
congestion_avoidance,200,0.7982,0.0157,0.0097,0,2553.6,1596.5,2642.2,1577.2082
greedy,50,0.2019,0.0067,0.0042,0,594.8,403.8,143.4,160.363
greedy,100,0.3955,0.0086,0.0053,0,1137.0,791.0,514.0,418.2408
greedy,150,0.5811,0.0182,0.0113,0,1356.5,1162.1,1074.5,892.6519
greedy,200,0.6922,0.0438,0.0272,0,1073.3,1384.3,1635.1,1323.5521
hungarian,50,0.2022,0.0071,0.0044,0,646.9,404.5,160.5,135.4335
hungarian,100,0.3968,0.0082,0.0051,0,1345.7,793.6,781.8,416.4971
hungarian,150,0.5968,0.0159,0.0098,0,1923.4,1193.6,1333.4,692.3593
hungarian,200,0.7968,0.0158,0.0098,0,2574.8,1593.7,3148.4,1079.1412
