fov_radius,safety_radius,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,exo_attr_std,exo_attr_ci95,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
2,1,0.7538,0.0138,0.0086,0,3805.8,233.1813,144.5273,1507.6,2015.7,50.1,828.583
3,1,0.7544,0.0147,0.0091,0,3574.1,266.7073,165.3069,1508.7,2488.4,50.1,833.2281
3,2,0.754,0.0142,0.0088,0,11388.0,918.3139,569.1769,1507.9,3473.6,63.6,956.5418
4,1,0.7544,0.0147,0.0091,0,3640.0,248.5889,154.077,1508.8,2831.5,51.7,860.518
4,2,0.755,0.014,0.0087,0,9939.5,1138.172,705.4463,1509.9,4709.3,67.4,987.5623
4,3,0.7476,0.0141,0.0087,0,18064.3,1249.91,774.7023,1495.3,10303.5,85.7,1136.8012
5,1,0.7542,0.0146,0.009,0,3493.2,198.3525,122.9402,1508.4,2936.6,50.5,827.3832
5,2,0.7548,0.0139,0.0086,0,9645.8,1319.7301,817.9772,1509.6,5667.1,67.8,1003.8062
5,3,0.7448,0.0142,0.0088,0,15745.0,1061.4654,657.9031,1489.5,13857.7,88.3,1195.8521
5,4,0.6846,0.0195,0.0121,0,39920.9,1876.9145,1163.3237,1369.3,26102.9,91.9,1253.882
6,1,0.7546,0.0144,0.0089,0,3500.6,273.1045,169.2719,1509.2,3371.2,52.2,870.7088
6,2,0.7549,0.014,0.0087,0,8757.8,985.607,610.8855,1509.8,6679.3,70.7,1037.0433
6,3,0.7429,0.0135,0.0084,0,13875.3,772.4416,478.7643,1485.8,15479.6,88.2,1221.5366
6,4,0.6348,0.0172,0.0106,0,35149.9,2139.2506,1325.9213,1269.7,30063.1,90.0,1266.1703
6,5,0.5102,0.0264,0.0163,0,78301.2,5989.5954,3712.3897,1020.4,47922.0,88.2,1229.8477
7,1,0.7545,0.0148,0.0092,0,3533.7,223.8323,138.7327,1509.1,3760.7,52.1,873.1634
7,2,0.755,0.0144,0.0089,0,8328.9,915.8701,567.6622,1509.9,7523.6,74.2,1085.152
7,3,0.7389,0.0146,0.009,0,12777.8,740.7272,459.1075,1477.8,17654.5,87.5,1231.7153
7,4,0.6176,0.03,0.0186,0,31633.4,1635.9512,1013.9731,1235.1,31460.4,89.6,1281.0612
7,5,0.4464,0.0245,0.0152,0,74094.1,6445.2351,3994.7981,892.9,52973.0,85.6,1228.7967
8,1,0.7554,0.015,0.0093,0,3584.2,191.606,118.7586,1510.8,4042.0,53.5,910.8386
8,2,0.7552,0.0146,0.009,0,8332.5,1081.6497,670.4134,1510.3,8412.2,75.0,1108.2384
8,3,0.7403,0.0144,0.009,0,11679.0,702.1912,435.2226,1480.6,19261.9,87.1,1255.3482
8,4,0.6014,0.0247,0.0153,0,28738.7,2025.2591,1255.2686,1202.8,33159.7,90.6,1322.8269
8,5,0.4123,0.0111,0.0069,0,67095.6,3693.1259,2289.0232,824.6,53478.3,90.7,1319.7869
9,1,0.7554,0.0144,0.0089,0,3533.5,221.9856,137.5881,1510.9,4080.2,53.3,889.1486
9,2,0.7548,0.014,0.0087,0,8157.1,1679.1758,1040.7639,1509.7,9428.9,70.6,1064.1628
9,3,0.7386,0.0122,0.0076,0,10877.8,312.0587,193.416,1477.3,20738.1,88.7,1283.4783
9,4,0.5937,0.0184,0.0114,0,26984.7,1858.8694,1152.1392,1187.4,35212.3,89.8,1331.9114
9,5,0.4024,0.0207,0.0128,0,59932.8,3910.1567,2423.5402,804.7,53859.6,87.3,1302.3622
10,1,0.7552,0.0147,0.0091,0,3472.4,323.4715,200.4897,1510.3,4446.8,52.3,894.8316
10,2,0.7547,0.014,0.0087,0,8161.0,1024.1272,634.7606,1509.4,9911.3,73.4,1105.6879
10,3,0.7356,0.0115,0.0071,0,10876.5,733.1827,454.4314,1471.2,22449.7,88.5,1300.0538
10,4,0.584,0.0102,0.0063,0,25163.0,1515.7174,939.4514,1168.0,36213.6,90.8,1360.8492
10,5,0.3956,0.0203,0.0126,0,57044.4,2994.6023,1856.0738,791.2,55835.5,84.0,1248.5782
