fov_radius,safety_radius,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,exo_attr_std,exo_attr_ci95,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
2,1,0.396,0.009,0.0056,0,1207.9,112.7647,69.8923,792.1,431.6,20.1,581.5302
3,1,0.3959,0.0098,0.0061,0,1181.1,93.1885,57.7588,791.8,551.0,21.1,579.3264
3,2,0.3959,0.0099,0.0061,0,3591.9,393.5035,243.896,791.8,691.8,24.3,617.7447
4,1,0.3954,0.0096,0.006,0,1145.8,109.0278,67.5761,790.9,628.3,16.9,523.6736
4,2,0.3956,0.0102,0.0063,0,3366.5,354.4587,219.6958,791.1,1126.6,22.5,596.8442
4,3,0.3956,0.0097,0.006,0,6397.6,795.0121,492.7536,791.2,1677.5,28.2,672.5636
5,1,0.397,0.0091,0.0057,0,1134.7,109.7604,68.0302,794.0,643.2,19.1,561.1768
5,2,0.3952,0.01,0.0062,0,3259.0,415.6395,257.6161,790.5,1217.6,22.8,601.8853
5,3,0.3966,0.0098,0.0061,0,5674.3,698.1873,432.741,793.2,2229.1,28.5,697.9997
5,4,0.3928,0.0106,0.0066,0,9019.5,904.0907,560.3612,785.5,4015.5,37.1,754.6345
6,1,0.3971,0.009,0.0056,0,1184.9,127.3006,78.9017,794.2,734.6,20.3,587.6211
6,2,0.396,0.0095,0.0059,0,3081.9,266.1831,164.982,791.9,1450.7,22.8,618.3504
6,3,0.3964,0.0095,0.0059,0,5589.3,556.2761,344.7835,792.7,2786.6,28.5,702.0875
6,4,0.3882,0.0064,0.004,0,6759.1,1171.6801,726.2149,776.4,5722.5,45.3,852.4477
6,5,0.378,0.0116,0.0072,0,13779.0,1686.7732,1045.4729,756.0,9788.5,51.7,922.4361
7,1,0.3961,0.0101,0.0063,0,1204.2,146.4618,90.778,792.2,768.7,20.1,588.5696
7,2,0.3968,0.0091,0.0057,0,3149.6,463.3315,287.1758,793.5,1577.1,23.5,630.67
7,3,0.396,0.0099,0.0061,0,5457.7,437.3313,271.0608,792.1,3207.7,29.7,727.4964
7,4,0.3884,0.0083,0.0051,0,5463.3,1142.6007,708.1913,776.9,6761.7,44.2,865.4434
7,5,0.3721,0.0074,0.0046,0,10931.7,893.2269,553.6277,744.2,12180.9,53.8,969.9774
8,1,0.3971,0.0088,0.0055,0,1152.1,141.5513,87.7344,794.2,851.7,19.9,583.6838
8,2,0.3966,0.0091,0.0056,0,3113.0,421.8749,261.4808,793.1,1765.6,21.7,608.0148
8,3,0.3964,0.0094,0.0058,0,5251.2,622.7719,385.998,792.8,3613.4,28.4,727.6765
8,4,0.3864,0.0085,0.0052,0,4671.3,1643.9196,1018.9119,772.9,7576.0,43.8,875.4206
8,5,0.3693,0.0084,0.0052,0,8818.0,1311.795,813.059,738.7,13792.3,58.0,1059.6287
9,1,0.3969,0.0091,0.0057,0,1149.4,101.4147,62.8575,793.8,950.5,18.9,578.1794
9,2,0.3974,0.0091,0.0056,0,3220.9,349.7731,216.7916,794.9,1884.2,23.7,650.4409
9,3,0.3958,0.0096,0.006,0,5016.0,859.3314,532.6191,791.7,3810.0,29.5,744.0985
9,4,0.3866,0.0084,0.0052,0,4451.5,1767.0612,1095.2359,773.2,8430.3,41.4,861.4813
9,5,0.3673,0.0108,0.0067,0,7683.4,1297.0844,803.9412,734.7,15444.1,51.6,1012.5117
10,1,0.3976,0.0086,0.0053,0,1176.1,168.1444,104.217,795.1,879.5,19.6,582.0469
10,2,0.3973,0.0096,0.006,0,3128.0,310.2734,192.3094,794.6,2015.0,25.2,677.5444
10,3,0.3964,0.0097,0.006,0,5200.8,582.1216,360.8027,792.7,3881.2,26.9,717.0167
10,4,0.385,0.0106,0.0066,0,3891.3,1206.427,747.7512,770.1,8941.3,48.9,956.4644
10,5,0.36,0.0101,0.0063,0,7025.2,1263.9201,783.3858,719.9,16784.5,56.5,1105.4034
