global_solver,num_agents,thpt_mean,thpt_std,thpt_ci95,thpt_per_agent_mean,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
lacam3,25,0.1905,0.00746,0.00463,0.00762,0,1475.5,381.0,446.5,5.8,580.53967
lacam3,50,0.37665,0.0103,0.00638,0.00753,0,3418.8,753.3,985.5,18.7,1349.0479
lacam3,75,0.5651,0.0147,0.00911,0.00753,0,5026.0,1130.2,1896.4,37.7,1902.0149
lacam3,100,0.75405,0.01501,0.0093,0.00754,0,6413.6,1508.1,3569.9,64.3,1915.31232
lacam3,150,1.11365,0.021,0.01302,0.00742,0,7092.7,2227.3,5964.2,92.9,1388.59889
lacam3,200,1.47495,0.01953,0.01211,0.00737,0,8875.8,2949.9,9162.5,97.6,1361.92768
lacam3,250,1.62755,0.03582,0.0222,0.00651,0,11545.0,3255.1,13371.3,100.0,1501.41102
lacam_official,25,0.1907,0.00732,0.00453,0.00763,0,1511.8,381.4,397.7,1.7,126.78389
lacam_official,50,0.3765,0.01046,0.00648,0.00753,0,3387.8,753.0,995.1,13.0,335.14373
lacam_official,75,0.56515,0.01456,0.00902,0.00754,0,4902.1,1130.3,1973.0,37.6,658.48457
lacam_official,100,0.75455,0.01458,0.00904,0.00755,0,6358.4,1509.1,3263.4,61.8,951.20283
lacam_official,150,1.11345,0.0204,0.01264,0.00742,0,6909.1,2226.9,5920.2,92.5,1240.13883
lacam_official,200,1.4734,0.01983,0.01229,0.00737,0,8786.1,2946.8,9270.5,98.0,1328.42686
lacam_official,250,1.62755,0.03582,0.0222,0.00651,0,11545.0,3255.1,13371.3,100.0,1597.31766
lns2,25,0.19055,0.00732,0.00454,0.00762,0,1481.2,381.1,435.2,6.1,32.25157
lns2,50,0.3768,0.01048,0.00649,0.00754,0,3328.5,753.6,981.0,17.9,70.16603
lns2,75,0.5651,0.01461,0.00905,0.00753,0,4784.2,1130.2,1951.2,40.7,127.54645
lns2,100,0.7542,0.01434,0.00889,0.00754,0,6197.6,1508.4,3314.3,62.7,177.00515
lns2,150,1.1136,0.02127,0.01318,0.00742,0,6828.9,2227.2,5729.7,92.1,202.12148
lns2,200,1.4755,0.01954,0.01211,0.00738,0,8813.7,2951.0,9199.3,97.8,250.50277
lns2,250,1.62755,0.03582,0.0222,0.00651,0,11545.0,3255.1,13371.3,100.0,369.00382
pibt2,25,0.19065,0.00727,0.00451,0.00763,0,1490.4,381.3,432.8,0.0,30.36569
pibt2,50,0.37665,0.01016,0.0063,0.00753,0,3490.1,753.3,952.9,0.0,69.72378
pibt2,75,0.5655,0.01463,0.00907,0.00754,0,5069.2,1131.0,1668.5,0.0,121.30157
pibt2,100,0.7534,0.01469,0.0091,0.00753,0,6757.5,1506.8,2585.5,0.0,180.34508
pibt2,150,1.11565,0.02235,0.01386,0.00744,0,9597.2,2231.3,4552.0,0.0,318.6214
pibt2,200,1.4973,0.02314,0.01434,0.00749,0,12222.7,2994.6,6760.2,0.0,448.62655
pibt2,250,1.86215,0.02854,0.01769,0.00745,0,14302.5,3724.3,10013.8,0.0,533.92021
