global_solver,num_agents,thpt_mean,thpt_ci95,thpt_per_agent_mean,agent_attr_max,exo_attr_mean,safe_wait_mean,solver_err_mean,wall_s_mean
lacam3,25,0.1899,0.00432,0.0076,0,2719.5,2319.6,13.0,1387.36654
lacam3,50,0.3752,0.00625,0.0075,0,5758.9,4756.8,40.2,2674.56425
lacam3,75,0.56125,0.00876,0.00748,0,9063.0,7770.7,69.2,2565.49141
lacam3,100,0.7437,0.00861,0.00744,0,12836.4,11136.7,86.2,1980.55949
lacam3,150,1.0384,0.01118,0.00692,0,20983.6,17934.7,99.6,1616.50142
lacam3,200,1.20695,0.0157,0.00603,0,30691.2,24094.5,100.0,1701.61799
lacam3,250,1.2517,0.02734,0.00501,0,41370.1,32020.7,100.0,1876.55744
lacam_official,25,0.18985,0.00455,0.00759,0,2684.7,2245.1,9.2,212.44017
lacam_official,50,0.37475,0.00632,0.0075,0,5723.8,4876.9,37.3,585.22975
lacam_official,75,0.56035,0.00816,0.00747,0,9190.3,7941.1,71.0,1023.05857
lacam_official,100,0.7436,0.00904,0.00744,0,13168.1,11045.0,88.4,1248.88611
lacam_official,150,1.04235,0.01091,0.00695,0,20884.8,17722.4,98.8,1433.85258
lacam_official,200,1.20695,0.0157,0.00603,0,30691.2,24094.5,100.0,1575.81361
lacam_official,250,1.2517,0.02734,0.00501,0,41370.1,32020.7,100.0,1882.22159
lns2,25,0.19005,0.00424,0.0076,0,2605.8,2309.2,12.9,62.07116
lns2,50,0.3745,0.00642,0.00749,0,5393.3,4864.4,37.5,116.48461
lns2,75,0.5601,0.00826,0.00747,0,8687.8,7957.9,67.4,177.67784
lns2,100,0.7438,0.00829,0.00744,0,12840.4,10989.1,86.4,238.64997
lns2,150,1.0442,0.01514,0.00696,0,20611.5,17794.4,98.0,377.42915
lns2,200,1.20695,0.0157,0.00603,0,30691.2,24094.5,100.0,511.97579
lns2,250,1.2517,0.02734,0.00501,0,41370.1,32020.7,100.0,686.97906
pibt2,25,0.18925,0.00462,0.00757,0,2624.8,2301.6,0.0,54.60023
pibt2,50,0.3751,0.00641,0.0075,0,5788.0,4906.2,0.0,104.30975
pibt2,75,0.56315,0.00858,0.00751,0,9459.3,7718.6,0.0,167.79109
pibt2,100,0.7499,0.00838,0.0075,0,12349.3,11260.3,0.0,229.75709
pibt2,150,1.10675,0.01362,0.00738,0,18906.0,19075.4,0.0,359.97134
pibt2,200,1.4826,0.01425,0.00741,0,25353.7,28248.6,0.0,504.18672
pibt2,250,1.8381,0.01566,0.00735,0,33924.9,39388.5,0.0,664.1817
