global_solver,num_agents,thpt_mean,thpt_ci95,thpt_per_agent_mean,agent_attr_max,exo_attr_mean,safe_wait_mean,solver_err_mean,wall_s_mean
lacam3,25,0.09665,0.00308,0.00387,0,1274.1,498.6,3.3,670.34465
lacam3,50,0.2022,0.00362,0.00404,0,2324.1,1098.0,7.7,1786.86094
lacam3,75,0.2984,0.00576,0.00398,0,3907.4,1653.4,21.4,2222.35904
lacam3,100,0.39435,0.00581,0.00394,0,5210.4,2325.2,31.9,2430.05426
lacam3,150,0.59445,0.01027,0.00396,0,7729.7,3935.3,56.5,2754.59962
lacam3,200,0.7824,0.00628,0.00391,0,8330.6,6496.4,88.9,2536.58273
lacam3,250,0.95505,0.0122,0.00382,0,8762.4,8931.3,98.9,2436.31895
lacam_official,25,0.09625,0.00249,0.00385,0,1072.8,459.5,0.8,100.32281
lacam_official,50,0.2015,0.00367,0.00403,0,2325.4,1093.7,9.9,287.76625
lacam_official,75,0.29795,0.00526,0.00397,0,3687.7,1703.8,18.2,488.25823
lacam_official,100,0.39405,0.00536,0.00394,0,4963.2,2278.1,34.8,807.0666
lacam_official,150,0.5933,0.00973,0.00396,0,7143.9,3990.5,60.2,1359.37662
lacam_official,200,0.7787,0.00634,0.00389,0,8031.5,6520.1,90.0,1779.88908
lacam_official,250,0.95215,0.00884,0.00381,0,8660.1,8986.3,98.0,1935.22012
lns2,25,0.0964,0.00293,0.00386,0,1116.3,475.5,2.4,107.67824
lns2,50,0.20185,0.00341,0.00404,0,1931.6,1092.6,10.6,230.78091
lns2,75,0.29725,0.00434,0.00396,0,3454.5,1612.4,17.0,354.04382
lns2,100,0.39335,0.00391,0.00393,0,4490.2,2375.5,38.6,462.80037
lns2,150,0.59,0.00973,0.00393,0,5952.1,4104.0,68.4,685.69313
lns2,200,0.7756,0.00863,0.00388,0,7457.8,6300.2,88.7,847.48831
lns2,250,0.95695,0.00993,0.00383,0,8655.6,8966.0,98.0,997.68748
pibt2,25,0.09615,0.00287,0.00385,0,1157.2,494.0,0.0,68.85413
pibt2,50,0.20255,0.00371,0.00405,0,2389.7,1019.5,0.0,152.28096
pibt2,75,0.29705,0.0052,0.00396,0,3559.7,1586.7,0.0,259.15568
pibt2,100,0.3933,0.00523,0.00393,0,4832.1,2253.1,0.0,402.645
pibt2,150,0.58985,0.01037,0.00393,0,7332.6,3704.9,0.0,696.98527
pibt2,200,0.78325,0.01062,0.00392,0,10044.2,5626.6,0.0,1033.13722
pibt2,250,0.9773,0.01218,0.00391,0,12604.3,7872.9,0.0,1375.31852
