global_solver,num_humans,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
lacam3,25,0.7922,0.0184,0.0114,0,1319.2,1584.5,2559.7,52.5,3737.3844
lacam3,50,0.7959,0.0172,0.0107,0,2403.9,1591.8,2928.2,61.2,3820.6629
lacam3,75,0.7952,0.013,0.008,0,3339.2,1590.4,3059.5,66.5,3619.1694
lacam3,100,0.7948,0.0168,0.0104,0,3645.7,1589.6,3604.8,76.6,3613.8214
lacam3,150,0.7829,0.0125,0.0078,0,3479.6,1565.7,4043.9,87.8,3058.3345
lacam3,200,0.7657,0.0154,0.0095,0,3510.3,1531.4,5279.1,94.2,2807.6568
lacam3,250,0.7401,0.0144,0.0089,0,3970.6,1480.2,7060.4,96.3,2996.0797
lacam_official,25,0.791,0.0214,0.0132,0,1303.7,1582.0,2777.1,57.6,2408.6645
lacam_official,50,0.7948,0.0146,0.009,0,2245.2,1589.5,3216.1,65.4,2400.9968
lacam_official,75,0.7952,0.0143,0.0088,0,3264.0,1590.3,3099.8,68.7,2323.2553
lacam_official,100,0.7939,0.0157,0.0097,0,3626.9,1587.7,3193.6,78.6,2305.5612
lacam_official,150,0.7808,0.0133,0.0082,0,3443.5,1561.5,3901.7,84.8,2023.6258
lacam_official,200,0.7624,0.0181,0.0112,0,3524.9,1524.7,5421.2,93.7,1990.3555
lacam_official,250,0.7333,0.0145,0.009,0,4044.8,1466.6,7043.1,97.3,2109.8745
lns2,25,0.7969,0.0196,0.0122,0,1327.6,1593.8,2761.4,58.7,2062.0279
lns2,50,0.797,0.0161,0.01,0,2202.3,1594.1,3218.8,66.0,1743.9686
lns2,75,0.7947,0.0128,0.0079,0,3164.5,1589.4,2811.5,66.2,1590.5824
lns2,100,0.7948,0.0125,0.0077,0,3481.7,1589.6,3157.2,78.6,1495.7034
lns2,150,0.7813,0.0137,0.0085,0,3378.1,1562.6,3892.1,86.9,1160.7339
lns2,200,0.7617,0.0173,0.0107,0,3363.9,1523.4,5387.2,93.2,1061.633
lns2,250,0.7276,0.0179,0.0111,0,4017.9,1455.3,7233.1,93.1,1161.3899
pibt2,25,0.781,0.0158,0.0098,0,1173.9,1562.0,636.9,0.0,1405.5721
pibt2,50,0.783,0.0173,0.0107,0,2097.9,1565.9,951.2,0.0,1427.6085
pibt2,75,0.7833,0.0144,0.0089,0,2965.1,1566.6,1371.5,0.0,1420.3634
pibt2,100,0.7855,0.0164,0.0102,0,3457.4,1571.0,1777.9,0.0,1432.5192
pibt2,150,0.7852,0.0167,0.0103,0,4435.4,1570.3,3203.8,0.0,1390.78
pibt2,200,0.7787,0.0178,0.011,0,4276.1,1557.4,5074.1,0.0,1308.0463
pibt2,250,0.7667,0.0177,0.011,0,2833.9,1533.3,8051.5,0.0,1125.4433
