applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,auction_epsilon,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,max_rounds,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,40,20,2,congestion_avoidance,0,386,,0,0,0,priority,386,7,0,,allocator_comparison_fov4_safe2,4,0,147,lacam_official,True,40,random_walk,157,0,73.5,0.5,astar,3373,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",663.0,0,60.629911022260785,5,0.03683693516699411,92.43705821660114,160.9740932642487,30.774850655682894,157.43264248704662,148.5,ours,lifelong,18,0,50,60,385.3825507569126,40.527771040797234,20,3520,875366465f6c5c3facc278cd0d3e436351439ff873b0b7928d84535ad6f1be8f,528,2,960.5,1921,0,0,0,10.0,0,ok,2000,75.0,60769,congestion_avoidance,0.9772151898734177,0.193,2000,395,5238,0,2000,1921,2000,0.05238,192.4416,4710
4,lacam_official,True,40,20,2,congestion_avoidance,0,422,,0,0,0,priority,422,7,0,,allocator_comparison_fov4_safe2,4,0,168,lacam_official,True,40,random_walk,108,0,84.0,0.5,astar,4087,True,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",604.0,0,13302.401290042326,5,0.011787819253438114,92.90435372601496,166.83649289099526,111.16029533843088,163.33175355450237,154.5,ours,lifelong,34,0,50,60,337.60954949539143,42.24456246010959,20,4255,427e4136fee6aaa7beeb3f4521e31a670bd62d16bf333ae6117b476eb1f66e5f,592,2,691.5,1383,5,1,0,10.0,0,ok,2000,24.0,68926,congestion_avoidance,0.9791183294663574,0.211,2000,431,3583,0,2000,1383,2000,0.03583,193.6457,2991
4,lacam_official,True,40,20,2,congestion_avoidance,0,399,,0,0,0,priority,399,7,0,,allocator_comparison_fov4_safe2,4,0,143,lacam_official,True,40,random_walk,161,0,71.5,0.5,astar,3289,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",496.0,0,14862.388482084498,5,0.00546448087431694,96.76065848750295,152.3659147869674,134.10745979729597,151.48872180451127,143.0,ours,lifelong,29,0,50,60,419.38564936863247,39.74686856381595,20,3432,09fd4d17ab0a69882968f652438bcc05bd04dc41573c0c7d1665a965dabb4419,348,2,861.5,1723,6,1,0,10.0,0,ok,2000,11.0,60444,congestion_avoidance,0.9900744416873449,0.1995,2000,403,3798,0,2000,1723,2000,0.03798,201.1322,3450
4,lacam_official,True,40,20,2,congestion_avoidance,0,391,,0,0,0,priority,391,8,0,,allocator_comparison_fov4_safe2,4,0,125,lacam_official,True,40,random_walk,191,0,62.5,0.5,astar,2905,True,1970,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",452.0,0,14256.24166498892,5,0.009429280397022333,120.54998144193087,146.17902813299233,479.4271296840161,145.38618925831202,133.0,ours,lifelong,29,0,50,60,408.9979280717669,39.17248211801052,20,3030,e98ea90a5b70b9a0c6d13bc1ffa6830328c29aee55edd51db571e3ed4c5e8e6d,397,2,1163.5,2327,1,4,0,10.0,0,ok,2000,19.0,56846,congestion_avoidance,0.9923857868020305,0.1955,2000,394,4556,0,2000,2327,2000,0.04556,248.6682,4159
4,lacam_official,True,40,20,2,congestion_avoidance,0,431,,0,0,0,priority,431,4,0,,allocator_comparison_fov4_safe2,4,39,167,lacam_official,True,40,random_walk,94,0,83.5,0.5,astar,4224,True,1960,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",472.0,39,13880.068251979537,5,0.0361504640937958,121.18299397965893,159.1925754060325,432.9225407483915,156.169373549884,149.0,ours,lifelong,26,0,50,60,359.0874322806485,44.38665437046437,20,4391,4368f09ae65864225830d236cf3a0cc70ddfc9974a46bec39052c5c3bb76d304,471,2,619.0,1238,2,5,0,10.0,0,ok,2000,74.0,67309,congestion_avoidance,0.9953810623556582,0.2155,2000,433,3092,0,2000,1238,2000,0.03092,250.2161,2621
4,lacam_official,True,40,20,2,congestion_avoidance,0,406,,0,0,0,priority,406,12,0,,allocator_comparison_fov4_safe2,4,6,124,lacam_official,True,40,random_walk,161,0,62.0,0.5,astar,2993,True,1982,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",563.0,2,14607.889296021312,5,0.02243270189431705,132.6489459834993,150.9655172413793,722.5913481670432,150.55418719211823,142.0,ours,lifelong,23,0,50,60,371.14096250152215,42.59837015415541,20,3117,cc7322ccd9f0b2d275f3dfcda62ed165133852173b6b60ef924aa51bff81ef22,385,2,931.0,1862,9,6,0,10.0,0,ok,2000,45.0,61125,congestion_avoidance,0.9806763285024155,0.203,2000,414,5011,0,2000,1862,2000,0.05011,273.0092,4626
4,lacam_official,True,40,20,2,congestion_avoidance,0,393,,0,0,0,priority,393,7,0,,allocator_comparison_fov4_safe2,4,0,142,lacam_official,True,40,random_walk,168,0,71.0,0.5,astar,3823,True,1988,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",662.0,0,14022.872518980876,5,0.01240694789081886,153.0332825166406,162.79898218829516,961.3891899024962,162.5623409669211,148.0,ours,lifelong,34,0,50,60,370.51174854277633,12862.461067491677,20,3965,3486d4d889336e0d1a9e3a769427d04186becd5b7b4084e6f951a58c9700e3e1,470,2,1008.0,2016,3,10,0,10.0,0,ok,2000,25.0,63887,congestion_avoidance,0.9825,0.1965,2000,400,5593,0,2000,2016,2000,0.05593,313.7253,5123
4,lacam_official,True,40,20,2,congestion_avoidance,0,408,,0,0,0,priority,408,7,0,,allocator_comparison_fov4_safe2,4,0,143,lacam_official,True,40,random_walk,135,0,71.5,0.5,astar,3796,True,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",621.0,0,15149.69014597591,5,0.008902077151335312,175.10792020597728,154.3357843137255,1192.3400645259885,153.87745098039215,145.0,ours,lifelong,21,0,50,60,398.02144728600956,13560.238048795147,20,3939,e3fc6d33220d52a024c7e38c40e40cd12a9920866be732cfe7385003e2911429,411,2,774.0,1548,7,10,0,10.0,2,ok,2000,18.0,62782,congestion_avoidance,0.9878934624697336,0.204,2000,413,3610,0,2000,1548,2000,0.0361,357.9662,3199
4,lacam_official,True,40,20,2,congestion_avoidance,0,402,,0,0,0,priority,402,5,0,,allocator_comparison_fov4_safe2,4,0,157,lacam_official,True,40,random_walk,138,0,78.5,0.5,astar,4407,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",458.0,0,14974.229297949933,5,0.004448838358872961,177.26403689867584,155.78358208955223,1123.0841094248328,155.0174129353234,142.5,ours,lifelong,34,0,50,60,404.8724550346378,14086.319158249535,20,4564,def1d855733312d45219aba57a1bd5659dee8ab40cbf79261bcf0a2d3465c2a2,585,2,799.5,1599,8,12,0,10.0,0,ok,2000,9.0,62317,congestion_avoidance,0.9828850855745721,0.201,2000,409,3838,0,2000,1599,2000,0.03838,362.2316,3253
4,lacam_official,True,40,20,2,congestion_avoidance,0,398,,0,0,0,priority,398,5,0,,allocator_comparison_fov4_safe2,4,0,133,lacam_official,True,40,random_walk,141,0,66.5,0.5,astar,3822,True,1985,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",517.0,0,14749.013760010712,5,0.03278688524590164,196.31899876479292,159.0075376884422,1591.8622394565045,158.70854271356785,148.0,ours,lifelong,24,0,50,60,392.7103832247666,13796.639717952348,20,3955,9e056cf3bceb23e98938bafe0754fb0b4c077d7c4d7e9dadfa2e423d899f4030,534,2,751.0,1502,4,15,0,10.0,0,ok,2000,66.0,63166,congestion_avoidance,0.9875930521091811,0.199,2000,403,3040,0,2000,1502,2000,0.0304,400.3083,2506
