applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
2,lacam_official,True,40,20,1,congestion_avoidance,0,798,0,0,0,priority,798,34,0,,fov_safety_sweep,2,107,lacam_official,True,40,random_walk,154,0,53.5,astar,4100,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",661.0,13838.947270996869,180.4583028855268,145.8045112781955,709.160836016385,144.14285714285714,132.0,ours,lifelong,0,100,50,520.4034934926312,7905.881944193843,20,4207,eaf2e916bee3451bee9ff742aed8d7fbb2cd784f6cb1d2663ffa13b1f33d39d5,153,1,612.0,1224,5,6,0,10.0,0,ok,2000,115026,congestion_avoidance,0.9864029666254636,0.399,2000,809,19041,0,2000,1224,2000,0.095205,370.07,18888
3,lacam_official,True,40,20,1,congestion_avoidance,0,782,0,0,0,priority,782,40,0,,fov_safety_sweep,3,110,lacam_official,True,40,random_walk,146,0,55.0,astar,4309,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",684.0,13337.111007072963,199.1324625593843,143.29028132992326,1057.8143881940791,142.39002557544757,124.0,ours,lifelong,0,100,50,524.1315388411749,12279.919630370568,20,4419,c4b648dfc1ec60929b5e53c40da5acf7bac111d792bde2ef09f794d5dcbb9da4,255,1,585.0,1170,2,9,0,10.0,0,ok,2000,111349,congestion_avoidance,0.9702233250620348,0.391,2000,806,21168,0,2000,1170,2000,0.10584,407.3936,20913
2,lacam_official,True,40,20,1,congestion_avoidance,0,770,0,0,0,priority,770,28,0,,fov_safety_sweep,2,108,lacam_official,True,40,random_walk,147,0,54.0,astar,4291,True,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",598.0,13572.033377946354,202.14330815919675,140.77532467532467,1215.3498403128685,140.24675324675326,123.0,ours,lifelong,0,100,50,476.5062667313031,12518.22058550897,20,4399,96b69c454a75297e1c569b26dc397f2fb4900ed11a7e9699f79d7a9971b20a92,104,1,569.0,1138,1,10,0,10.0,0,ok,2000,107990,congestion_avoidance,0.9821428571428571,0.385,2000,784,16967,0,2000,1138,2000,0.084835,413.4221,16863
3,lacam_official,True,40,20,1,congestion_avoidance,0,776,0,0,0,priority,776,37,0,,fov_safety_sweep,3,110,lacam_official,True,40,random_walk,130,0,55.0,astar,4246,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",704.0,13830.050864024088,207.88915545097552,144.8479381443299,1205.7586715704847,144.16623711340208,128.5,ours,lifelong,0,100,50,509.5973900228272,12853.226169530535,20,4356,7274edd52af21e2f5f18649487dc912bead3e63758dad6eda2ab4dca39e05b34,335,1,550.5,1101,1,10,0,10.0,0,ok,2000,111873,congestion_avoidance,0.9897959183673469,0.388,2000,784,16416,0,2000,1101,2000,0.08208,424.6623,16081
3,lacam_official,True,40,20,1,congestion_avoidance,0,800,0,0,0,priority,800,32,0,,fov_safety_sweep,3,106,lacam_official,True,40,random_walk,147,0,53.0,astar,4623,True,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",793.0,13819.579953909852,223.51750333118252,147.5225,1549.0974932952943,146.00375,136.5,ours,lifelong,0,100,50,527.3512331361416,12355.883905023802,20,4729,a237771eb0ef9e53abff6add7999773cd450f8d90a92fac69b0ad647e31cc301,453,1,527.0,1054,5,13,0,10.0,0,ok,2000,116803,congestion_avoidance,0.9888751545117429,0.4,2000,809,16945,0,2000,1054,2000,0.084725,456.5636,16492
2,lacam_official,True,40,20,1,congestion_avoidance,0,783,0,0,0,priority,783,41,0,,fov_safety_sweep,2,108,lacam_official,True,40,random_walk,151,0,54.0,astar,4486,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",541.0,13951.769397011958,230.42728540493408,136.1992337164751,1547.2538167474947,135.5287356321839,123.0,ours,lifelong,0,100,50,525.4588954150677,12673.919579706853,20,4594,909a3cdba8cfb17b74fd4f08871ebdcfc41412f56195d2a9d984b7ff5f9e243f,138,1,571.0,1142,2,13,0,10.0,0,ok,2000,106119,congestion_avoidance,0.9714640198511166,0.3915,2000,806,16993,0,2000,1142,2000,0.084965,470.5798,16855
2,lacam_official,True,40,20,1,congestion_avoidance,0,779,0,0,0,priority,779,28,0,,fov_safety_sweep,2,105,lacam_official,True,40,random_walk,193,0,52.5,astar,4838,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",427.0,15107.362970011309,267.26403484056937,131.75738125802312,1962.238255278429,130.67008985879332,118.0,ours,lifelong,0,100,50,635.6395417882595,12870.373463211581,20,4943,3ac476d50d47bd564ff262e025eaebbcc0e3eef67aff6aff0a3f21dc7162bb8d,296,1,742.5,1485,6,15,0,10.0,1,ok,2000,101792,congestion_avoidance,0.9811083123425692,0.3895,2000,794,13905,0,2000,1485,2000,0.069525,543.627,13609
2,lacam_official,True,40,20,1,congestion_avoidance,0,789,0,0,0,priority,789,23,0,,fov_safety_sweep,2,108,lacam_official,True,40,random_walk,150,0,54.0,astar,5071,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",497.0,14063.64496203605,274.2075515514007,140.8745247148289,2169.247977724471,140.37769328263624,128.0,ours,lifelong,0,100,50,556.3439990975894,13265.916936297433,20,5179,8c216cd2b73c86cdef5ac5691b1890a369ab86eb679c32732d10d0b7d19cd747,501,1,535.0,1070,9,18,0,10.0,0,ok,2000,110758,congestion_avoidance,0.983790523690773,0.3945,2000,802,15889,0,2000,1070,2000,0.079445,558.218,15388
3,lacam_official,True,40,20,1,congestion_avoidance,0,790,0,0,0,priority,790,30,0,,fov_safety_sweep,3,108,lacam_official,True,40,random_walk,150,0,54.0,astar,5479,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",710.0,13894.204993965104,307.49083032563794,142.00886075949367,3094.2685441157123,141.37974683544303,131.0,ours,lifelong,0,100,50,492.14758829330094,13499.125933478354,20,5587,789e0aecdd7d816d9ec68e4d6a3e009cb46a8fc7661ab60386d74f142b8a3971,568,1,639.0,1278,0,26,0,10.0,0,ok,2000,111690,congestion_avoidance,0.9813664596273292,0.395,2000,805,15326,0,2000,1278,2000,0.07663,623.5002,14758
3,lacam_official,True,40,20,1,congestion_avoidance,0,826,0,0,0,priority,826,19,0,,fov_safety_sweep,3,106,lacam_official,True,40,random_walk,131,0,53.0,astar,5970,True,1953,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",569.0,14254.651041002944,310.20751384604955,142.25665859564165,3123.9777311610214,141.272397094431,133.0,ours,lifelong,0,100,50,506.16643223911524,13006.353421427775,20,6076,5a31c1c9acc2cd327b2cf3427ecffa8d875ebf10336484e7117b91fe26010d7b,460,1,591.5,1183,4,26,0,10.0,0,ok,2000,116691,congestion_avoidance,0.9856801909307876,0.413,2000,838,13603,0,2000,1183,2000,0.068015,629.3181,13143
