applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,40,20,2,congestion_avoidance,0,187,0,0,0,priority,187,1,0,,scaling_agents_fov4_safe2,4,196,lacam_official,True,40,random_walk,111,0,98.0,0.5,astar,2615,True,1981,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",489.0,60.736969993740786,5,32.8690670264732,183.13368983957218,18.307666280875587,182.70053475935828,171.0,ours,lifelong,0,25,100,108.61842035228617,25.755740749445977,20,2811,4ef5315346df4043957551cad1152080ae058c24f3aa4105ba3efce207ce5469,363,2,634.5,1269,8,0,0,10.0,0,ok,2000,34165,congestion_avoidance,0.9842105263157894,0.0935,2000,190,1049,0,2000,1269,2000,0.02098,68.6269,686
4,lacam_official,True,40,20,2,congestion_avoidance,0,185,0,0,0,priority,185,2,0,,scaling_agents_fov4_safe2,4,218,lacam_official,True,40,random_walk,113,0,109.0,0.5,astar,2995,True,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",631.0,99.73402899777284,5,33.02222990838709,180.7135135135135,17.706510201756043,178.1891891891892,165.0,ours,lifelong,0,25,100,113.13659545667177,23.16905015359225,20,3213,17ba110fbc3ab4ca793c88137bb85cddb887e3090d8c06e06105d77b6689c70d,419,2,686.0,1372,1,0,0,10.0,0,ok,2000,32965,congestion_avoidance,0.9840425531914894,0.0925,2000,188,1067,0,2000,1372,2000,0.02134,68.9016,648
4,lacam_official,True,40,20,2,congestion_avoidance,0,200,0,0,0,priority,200,1,0,,scaling_agents_fov4_safe2,4,241,lacam_official,True,40,random_walk,82,0,120.5,0.5,astar,3130,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",599.0,71.45276099618059,5,33.89330310500736,187.6,18.838205339907063,181.84,180.5,ours,lifelong,0,25,100,103.20827109935628,26.565009997284506,20,3371,c7977b17cdf71643cdd4ef0adae60f167dba3d2202f57aa3653f3760c2339d97,424,2,486.0,972,9,0,0,10.0,0,ok,2000,36368,congestion_avoidance,0.9615384615384616,0.1,2000,208,1044,0,2000,972,2000,0.02088,70.9286,620
4,lacam_official,True,40,20,2,congestion_avoidance,0,208,0,0,0,priority,208,0,0,,scaling_agents_fov4_safe2,4,292,lacam_official,True,40,random_walk,64,0,146.0,0.5,astar,3769,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",629.0,72.0385860040551,5,34.7520189910465,210.9471153846154,20.89375414757404,198.62980769230768,201.5,ours,lifelong,0,25,100,92.28963094574281,28.313463401718764,20,4061,075005b44198968ee98e2b2578157be8ccf2084e9919a7993baeebaecef7d182,493,2,355.0,710,2,0,0,10.0,0,ok,2000,41315,congestion_avoidance,0.9585253456221198,0.104,2000,217,1094,0,2000,710,2000,0.02188,72.436,601
4,lacam_official,True,40,20,2,congestion_avoidance,0,185,0,0,0,priority,185,1,0,,scaling_agents_fov4_safe2,4,257,lacam_official,True,40,random_walk,80,0,128.5,0.5,astar,3478,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",466.0,89.25917499436764,5,34.900967027442675,201.16216216216216,19.650975377471024,192.43783783783783,195.0,ours,lifelong,0,25,100,96.15947864767803,27.394877801998515,20,3735,924d8b0896f188a5d577e182038f4c2910aafe652f38ae9f9b9ff248f62320d4,425,2,491.5,983,3,0,0,10.0,0,ok,2000,35601,congestion_avoidance,0.9585492227979274,0.0925,2000,193,991,0,2000,983,2000,0.01982,72.7346,566
4,lacam_official,True,40,20,2,congestion_avoidance,0,197,0,0,0,priority,197,2,0,,scaling_agents_fov4_safe2,4,239,lacam_official,True,40,random_walk,98,0,119.5,0.5,astar,3271,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",510.0,126.80156600254122,5,36.396556464984315,194.253807106599,19.817312422795922,189.45685279187816,180.0,ours,lifelong,0,25,100,111.38564599932577,28.262568197533245,20,3510,6ed1fcb0a372a64d5d3375bda6ba1f1244b537da14649e28eb9443a745f19e89,526,2,632.5,1265,4,0,0,10.0,0,ok,2000,37323,congestion_avoidance,0.985,0.0985,2000,200,1049,0,2000,1265,2000,0.02098,75.8073,523
4,lacam_official,True,40,20,2,congestion_avoidance,0,196,0,0,0,priority,196,0,0,,scaling_agents_fov4_safe2,4,296,lacam_official,True,40,random_walk,49,0,148.0,0.5,astar,4115,True,1937,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",604.0,15212.865026995132,5,44.3517839863016,224.89795918367346,71.7476927297252,211.8265306122449,210.5,ours,lifelong,0,25,100,97.27491174671741,27.040873996156733,20,4411,5905dfa5f4b059b48139e323373f7db0fb34f8fd75859ebaba128c6532f47ef4,546,2,299.0,598,5,0,0,10.0,1,ok,2000,41518,congestion_avoidance,0.9702970297029703,0.098,2000,202,1009,0,2000,598,2000,0.02018,91.7006,463
4,lacam_official,True,40,20,2,congestion_avoidance,0,183,0,0,0,priority,183,1,0,,scaling_agents_fov4_safe2,4,212,lacam_official,True,40,random_walk,103,0,106.0,0.5,astar,2814,True,1974,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",483.0,15239.927206006541,5,49.52020844555955,180.59562841530055,163.15886531629076,178.71038251366122,177.0,ours,lifelong,0,25,100,114.06779309545527,29.01110194834473,20,3026,b7157fc8a7612d95cfd6afc68e4b3d8e2e37ea05108a5667e4f6e4804e7db10c,432,2,602.5,1205,0,0,0,10.0,2,ok,2000,32704,congestion_avoidance,0.9786096256684492,0.0915,2000,187,1052,0,2000,1205,2000,0.02104,102.0409,620
4,lacam_official,True,40,20,2,congestion_avoidance,0,195,0,0,0,priority,195,1,0,,scaling_agents_fov4_safe2,4,265,lacam_official,True,40,random_walk,69,0,132.5,0.5,astar,3805,True,1967,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",598.0,15243.77764199744,5,64.4713649496407,220.01538461538462,244.05535864149536,204.99487179487178,208.0,ours,lifelong,0,25,100,89.78790550354461,25.661587402282738,20,4070,0ada0596a267d5e3f6fa177b5e11eb6bb0c2c2a37186d111cceae0239bdc94ad,506,2,419.0,838,6,2,0,10.0,2,ok,2000,39974,congestion_avoidance,0.9701492537313433,0.0975,2000,201,1084,0,2000,838,2000,0.02168,131.7938,578
4,lacam_official,True,40,20,2,congestion_avoidance,0,383,0,0,0,priority,383,2,0,,scaling_agents_fov4_safe2,4,211,lacam_official,True,40,random_walk,287,0,105.5,0.5,astar,6131,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",550.0,14541.125531999569,5,108.14747607437675,178.77284595300262,290.8582371849304,175.7859007832898,166.0,ours,lifelong,0,50,100,274.1025989009358,44.48809549649013,20,6342,eae5a3066744a24b9aa16ba71e3a1028749a586ab5e376d94905761d985e075f,1165,2,1513.5,3027,0,4,0,10.0,0,ok,2000,67326,congestion_avoidance,0.979539641943734,0.1915,2000,391,3224,0,2000,3027,2000,0.03224,222.2227,2059
