applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,max_rounds,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,40,20,1,congestion_avoidance,0,387,0,0,0,priority,387,7,0,,soft_safety_ablation,4,0,150,lacam_official,True,40,random_walk,154,0,75.0,0.5,astar,3791,True,1985,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",515.0,0,14687.479417072609,5,0.01429275505174963,60.96908306714613,159.5762273901809,115.67785389566173,157.30232558139534,150.0,ours,lifelong,24,0,50,100,199.59955662488935,25.83023520419374,20,3941,e1846c5aae3439a94d93d0023d02afebe30b5c71e4cf4b654fffa7787a780820,431,1,570.5,1141,0,1,0,10.0,0,ok,2000,29.0,60876,congestion_avoidance,0.989769820971867,0.1935,2000,391,3336,0,2000,1141,2000,0.03336,126.7786,2905
4,lacam_official,True,40,20,1,congestion_avoidance,0,404,0,0,0,priority,404,5,0,,soft_safety_ablation,4,0,152,lacam_official,True,40,random_walk,133,0,76.0,0.5,astar,3584,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",387.0,0,15117.239906918257,5,0.007414730598121601,64.97305286629125,149.45544554455446,207.366612739861,148.15346534653466,142.0,ours,lifelong,29,0,50,100,215.56551537942138,23.604784451890733,20,3736,2de97fde63ae750b8e1d40d28e00a36b5ce9594593279322d500b025c6ad67b9,258,1,499.5,999,6,1,0,10.0,1,ok,2000,15.0,59854,congestion_avoidance,0.9926289926289926,0.202,2000,407,2874,0,2000,999,2000,0.02874,134.492,2616
4,lacam_official,True,40,20,1,congestion_avoidance,0,393,0,0,0,priority,393,4,0,,soft_safety_ablation,4,0,143,lacam_official,True,40,random_walk,119,0,71.5,0.5,astar,3538,True,1981,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",447.0,0,14870.208393782377,5,0.009925558312655087,65.86475531454198,148.0381679389313,215.25126408420869,147.21882951653944,137.0,ours,lifelong,28,0,50,100,210.93783591641113,24.208707502111793,20,3681,be2e8dd88b13e53b2999e8a12473be5b93a1b19bee0bcf81ed625bef0397b6de,291,1,546.5,1093,1,2,0,10.0,0,ok,2000,20.0,57857,congestion_avoidance,0.9924242424242424,0.1965,2000,396,3502,0,2000,1093,2000,0.03502,136.4644,3211
4,lacam_official,True,40,20,1,congestion_avoidance,0,403,0,0,0,priority,403,8,0,,soft_safety_ablation,4,0,189,lacam_official,True,40,random_walk,91,0,94.5,0.5,astar,5171,True,1971,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",702.0,0,14823.919688817114,5,0.027886497064579255,91.83249826496467,173.15136476426798,521.72187834032,169.6724565756824,155.0,ours,lifelong,31,0,50,100,165.4737366246991,25.65395659767091,20,5360,2f7da48738ba9b26c1de24bb6e5c1e791982d8b3af03613ef2a51038f6b0a5f5,347,1,421.5,843,3,7,0,10.0,0,ok,2000,57.0,68378,congestion_avoidance,0.9781553398058253,0.2015,2000,412,4187,0,2000,843,2000,0.04187,188.1789,3840
4,lacam_official,True,40,20,1,congestion_avoidance,0,420,0,0,0,priority,420,2,0,,soft_safety_ablation,4,0,176,lacam_official,True,40,random_walk,106,0,88.0,0.5,astar,4760,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",551.0,0,14071.977191837505,5,0.05242528172464478,100.78625118453056,165.57619047619048,551.0649292052469,163.0690476190476,154.0,ours,lifelong,36,0,50,100,206.9600950810127,45.502306311391294,20,4936,ba39ab8e626c23e32f885520111d7c457b43b48060ddc2231f2d2fdc11666295,324,1,436.0,872,5,7,0,10.0,0,ok,2000,107.0,68489,congestion_avoidance,0.9767441860465116,0.21,2000,430,2795,0,2000,872,2000,0.02795,206.3111,2471
4,lacam_official,True,40,20,1,congestion_avoidance,0,425,0,0,0,priority,425,4,0,,soft_safety_ablation,4,0,194,lacam_official,True,40,random_walk,79,0,97.0,0.5,astar,5074,True,1969,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",556.0,0,15034.040806116536,5,0.07613967022308439,118.72393205575645,173.84470588235294,733.9456888052548,168.92,162.0,ours,lifelong,22,0,50,100,188.68106364971027,4426.796080020651,20,5268,ea108a6755c7c6f57a219626d56a4746fe9719db1d34502a25e86f5b924ec789,351,1,289.5,579,2,9,0,10.0,1,ok,2000,157.0,71791,congestion_avoidance,0.9883720930232558,0.2125,2000,430,3586,0,2000,579,2000,0.03586,242.3222,3235
4,lacam_official,True,40,20,1,congestion_avoidance,0,420,0,0,0,priority,420,3,0,,soft_safety_ablation,4,0,170,lacam_official,True,40,random_walk,102,0,85.0,0.5,astar,4274,True,1937,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",543.0,0,15120.090011972934,5,0.023278850916295196,118.84947347198613,156.14523809523808,785.8036897432826,155.50238095238095,150.0,ours,lifelong,29,0,50,100,194.6581323049031,7692.399379273174,20,4444,de8ca7196233bdd7d6e6b5cda43af0c5af1a3f8b4a3b4f64fb46a82d5fd8a6f4,578,1,469.0,938,9,7,0,10.0,2,ok,2000,47.0,65311,congestion_avoidance,0.997624703087886,0.21,2000,421,3264,0,2000,938,2000,0.03264,242.5017,2686
4,lacam_official,True,40,20,1,congestion_avoidance,0,404,0,0,0,priority,404,4,0,,soft_safety_ablation,4,0,158,lacam_official,True,40,random_walk,126,0,79.0,0.5,astar,4075,True,1929,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",683.0,0,15162.384001770988,5,0.01220703125,122.91764835303184,152.82673267326732,861.3645432124952,149.79455445544554,146.5,ours,lifelong,31,0,50,100,227.77927080169312,13834.432158025451,20,4233,ed912bf92103d3068b73d5850698340d60f823327d023a9af39f76b4c7d02264,579,1,536.5,1073,8,4,0,10.0,5,ok,2000,25.0,60517,congestion_avoidance,0.9853658536585366,0.202,2000,410,3212,0,2000,1073,2000,0.03212,250.4109,2633
4,lacam_official,True,40,20,1,congestion_avoidance,0,417,0,0,0,priority,417,3,0,,soft_safety_ablation,4,0,167,lacam_official,True,40,random_walk,98,0,83.5,0.5,astar,4891,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",649.0,0,15139.00759886019,5,0.02962962962962963,132.1151559568243,161.74820143884892,954.162987368739,160.96882494004797,156.0,ours,lifelong,30,0,50,100,223.6102475086227,13435.611819848406,20,5058,10465464ef46e7ceeba9af585141c81287e4c7597b98e0c5c0c35d0996f797f5,340,1,376.0,752,7,8,0,10.0,3,ok,2000,60.0,67124,congestion_avoidance,0.9858156028368794,0.2085,2000,423,2924,0,2000,752,2000,0.02924,268.9524,2584
4,lacam_official,True,40,20,1,congestion_avoidance,0,411,0,0,0,priority,411,5,0,,soft_safety_ablation,4,0,166,lacam_official,True,40,random_walk,108,0,83.0,0.5,astar,5187,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",489.0,0,15118.366515031084,5,0.014320987654320988,196.46776105312165,168.02189781021897,1698.042140422243,166.74209245742094,166.0,ours,lifelong,35,0,50,100,210.03110007150093,13983.22758579161,20,5353,53b3224b78cbc36cd4db9c9859ed918e62cbb79362c8443890851862c9163954,503,1,433.0,866,4,18,0,10.0,2,ok,2000,29.0,68531,congestion_avoidance,0.9856115107913669,0.2055,2000,417,2910,0,2000,866,2000,0.0291,397.6972,2407
